Year,2022,2021,2020,2019
Cash & Equivalents,83.9,167.8,83.4,67.6
Cash & Cash Equivalents,83.9,167.8,83.4,67.6
Cash Growth,-50.00%,101.20%,23.37%,-
Receivables,87,57.6,37.3,36.1
Other Current Assets,18.3,17.4,8.7,4.2
Total Current Assets,189.2,242.8,129.4,107.9
"Property, Plant & Equipment",60.4,48.8,41.7,34.1
Goodwill and Intangibles,175.3,71.4,79.4,0.3
Other Long-Term Assets,0.8,1.1,4.7,2.3
Total Long-Term Assets,236.5,121.3,125.8,36.7
Total Assets,425.7,364.1,255.2,144.6
Accounts Payable,3.6,3.2,5.4,1.8
Current Debt,0,0,0,5
Other Current Liabilities,68.8,62.6,18.6,20.1
Total Current Liabilities,72.4,65.8,24,26.9
Long-Term Debt,0,0,30.2,30.5
Other Long-Term Liabilities,11.6,40.7,49.5,10.4
Total Long-Term Liabilities,11.6,40.7,79.7,40.9
Total Liabilities,84,106.5,103.7,67.8
Total Debt,0,0,30.2,35.5
Debt Growth,-,-,-14.93%,-
Common Stock,427.3,331.6,99.8,28.2
Retained Earnings,-84.7,-74.5,-17.7,-20.2
Comprehensive Income,-0.9,0.5,0.6,0
Shareholders' Equity,341.7,257.6,82.7,8
Total Liabilities and Equity,425.7,364.1,186.4,75.8
Net Cash / Debt,83.9,167.8,53.2,32.1
Net Cash / Debt Growth,-50.00%,215.41%,65.73%,-
Net Cash Per Share,1.19,3.23,0.94,0.59
Working Capital,116.8,177,105.4,81
Book Value Per Share,4.84,4.96,1.87,0.19
