Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,44.43,76.65,126.94,41.09,25.29,19.2,47.75,57.32,103.02,55.93,Upgrade
Cash & Cash Equivalents,44.43,76.65,126.94,41.09,25.29,19.2,47.75,57.32,103.02,55.93,Upgrade
Cash Growth,-42.04%,-39.62%,208.93%,62.45%,31.77%,-59.80%,-16.70%,-44.36%,84.20%,-89.37%,Upgrade
Receivables,91.27,80.68,73.58,66.51,66.38,65.43,51.65,5.14,1.05,0.02,Upgrade
"Property, Plant & Equipment",31.93,32.05,29.67,26.1,24.77,22.8,20.4,15.2,11.81,8.88,Upgrade
Goodwill and Intangibles,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,Upgrade
Total Assets,"2,516.03","2,450.58","2,166.67","1,364.82","1,092.04",894.85,839.9,662.45,463.27,481.22,Upgrade
Accounts Payable,74.58,72,61.72,39.9,31.14,23.36,25.3,22.73,10.65,10.05,Upgrade
Deferred Revenue,123.04,139.24,118.82,136.64,158.89,163.17,152.91,90.77,22.07,1.45,Upgrade
Total Liabilities,902.3,884.8,797.08,434.4,390.54,385.77,364.39,259.72,36.31,18,Upgrade
Total Debt,396.05,394.62,393.3,145.76,146.76,143.88,144.35,143.94,0,0,Upgrade
Debt Growth,0.36%,0.34%,169.82%,-0.68%,2.00%,-0.33%,0.29%,-,-,-,Upgrade
Common Stock,917.01,956.16,938.72,707.69,682.84,586.09,577.52,570.93,563.5,554.29,Upgrade
Retained Earnings,901.04,608.14,377.01,205.45,33.49,-74.16,-96.72,-160.72,-132.93,-84.02,Upgrade
Comprehensive Income,-204.32,1.49,53.86,17.29,-14.83,-2.86,-5.29,-7.47,-3.61,-7.05,Upgrade
Shareholders' Equity,"1,613.73","1,565.79","1,369.59",930.42,701.5,509.08,475.51,402.73,426.96,463.22,Upgrade
Total Liabilities and Equity,"2,516.03","2,450.58","2,166.67","1,364.82","1,092.04",894.85,839.9,662.45,463.27,481.22,Upgrade
Net Cash / Debt,-351.63,-317.98,-266.36,-104.68,-121.46,-124.69,-96.61,-86.62,103.02,55.93,Upgrade
Net Cash / Debt Growth,-,-,-,-,-,-,-,-,84.20%,-89.37%,Upgrade
Net Cash Per Share,-4.09,-3.66,-3.36,-1.50,-1.80,-2.01,-1.59,-1.48,1.77,1.00,Upgrade
Book Value Per Share,19.00,18.29,17.55,13.77,10.79,8.51,8.05,6.86,7.33,8.27,Upgrade
