Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,316.76,580.2,314.45,143.02,148.86,148.19,108.94,92.29,72.35,94.5,Upgrade
Cash & Cash Equivalents,316.76,580.2,314.45,143.02,148.86,148.19,108.94,92.29,72.35,94.5,Upgrade
Cash Growth,-45.41%,84.51%,119.87%,-3.93%,0.46%,36.03%,18.04%,27.55%,-23.43%,-2.25%,Upgrade
"Property, Plant & Equipment",23.88,24.65,25.62,22.83,18.95,18.42,16.16,16.85,17.68,17.76,Upgrade
Goodwill and Intangibles,16.08,16.4,16.76,17.16,5.65,7.48,7.22,7.13,7.33,8.04,Upgrade
Total Assets,"1,860.51","1,792.18","1,565.98","1,247.13","1,018.29",952.02,891.39,815.82,745.57,745.65,Upgrade
Total Liabilities,"1,641.94","1,585.28","1,378.35","1,076.07",893.63,841.02,794.55,726.63,662.79,655.96,Upgrade
Total Debt,2.07,7.36,12.63,0,0,0,30,45,45,45,Upgrade
Debt Growth,-71.93%,-41.73%,-,-,-,-,-33.33%,-,-,-1.86%,Upgrade
Common Stock,38.75,42.67,42.4,43.03,14.26,12.89,9.3,9.37,9.58,21.05,Upgrade
Retained Earnings,180.54,164.17,145.17,127.99,110.53,98.24,87.71,80.13,73.53,69,Upgrade
Comprehensive Income,-0.72,0.06,0.06,0.05,-0.13,-0.12,-0.18,-0.31,-0.34,-0.36,Upgrade
Shareholders' Equity,218.57,206.9,187.63,171.07,124.66,111,96.83,89.19,82.78,89.69,Upgrade
Total Liabilities and Equity,"1,860.51","1,792.18","1,565.98","1,247.13","1,018.29",952.02,891.39,815.82,745.57,745.65,Upgrade
Net Cash / Debt,314.69,572.84,301.82,143.02,148.86,148.19,78.94,47.29,27.35,49.5,Upgrade
Net Cash / Debt Growth,-45.06%,89.79%,111.04%,-3.93%,0.46%,87.72%,66.93%,72.88%,-44.73%,-2.59%,Upgrade
Book Value Per Share,26.49,24.77,22.58,20.51,16.86,15.08,13.95,12.64,11.75,12.73,Upgrade
