Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,313.69,756.97,485.59,385.3,351.47,299.35,289.31,210.08,72.88,170.86,Upgrade
Cash & Cash Equivalents,313.69,756.97,485.59,385.3,351.47,299.35,289.31,210.08,72.88,170.86,Upgrade
Cash Growth,-58.56%,55.89%,26.03%,9.62%,17.41%,3.47%,37.71%,188.27%,-57.35%,24.09%,Upgrade
"Property, Plant & Equipment",69,74.9,82.86,81.4,44.82,45.61,42.87,31.11,34.3,32.91,Upgrade
Goodwill and Intangibles,16.3,16.3,16.3,16.3,16.3,16.3,16.3,10.17,10.17,10.17,Upgrade
Total Assets,"5,835.54","6,093.63","6,168.33","5,620.32","5,240.4","5,085.36","4,816.31","4,230.29","3,747.01","3,371.9",Upgrade
Total Liabilities,"4,978.93","5,258.58","5,345","4,856.08","4,550.47","4,452.94","4,211.9","3,653.74","3,188.28","2,829.11",Upgrade
Total Debt,349.77,355.64,531.61,995.39,"1,034.23",982.76,"1,017.21","1,136.17","1,104.85",811.8,Upgrade
Debt Growth,-1.65%,-33.10%,-46.59%,-3.76%,5.24%,-3.39%,-10.47%,2.84%,36.10%,-2.75%,Upgrade
Common Stock,146.34,144.66,148.54,146.98,145.92,144.31,143.1,141.83,139.79,137.91,Upgrade
Retained Earnings,742.25,688.52,666.28,614.17,545.01,487.7,460.62,432.67,414.62,401.77,Upgrade
Comprehensive Income,-31.98,1.87,8.51,3.1,-1,0.42,0.69,2.05,4.32,3.12,Upgrade
Shareholders' Equity,856.61,835.05,823.32,764.24,689.93,632.42,604.41,576.55,558.73,542.79,Upgrade
Total Liabilities and Equity,"5,835.54","6,093.63","6,168.33","5,620.32","5,240.4","5,085.36","4,816.31","4,230.29","3,747.01","3,371.9",Upgrade
Net Cash / Debt,-36.08,401.33,-46.02,-610.08,-682.76,-683.41,-727.9,-926.09,"-1,031.97",-640.93,Upgrade
Book Value Per Share,43.38,41.32,39.36,36.48,33.00,30.32,28.97,27.65,26.84,26.10,Upgrade
