Year,2022,2021,2020,2019,2018,2017,2016,2015
Cash & Equivalents,179.35,157.93,83.42,80.74,121.86,58.35,46.53,44.88
Cash & Cash Equivalents,179.35,157.93,83.42,80.74,121.86,58.35,46.53,44.88
Cash Growth,13.56%,89.32%,3.32%,-33.75%,108.85%,25.39%,3.67%,-
Receivables,0,12.35,141,43.15,5.34,39.82,0,0
"Property, Plant & Equipment",56.8,74.19,86.73,96.14,97.68,95.22,102.07,115.17
Goodwill and Intangibles,178.06,189.3,194.67,199.73,181.29,92.72,92.89,48.01
Total Assets,"7,362.94","6,696.17","6,390.65","5,521.81","4,942.57","3,366.13","3,295.83","2,479.87"
Total Liabilities,"6,597.13","5,859.79","5,585.19","4,771.69","4,291.9","2,907.55","2,913.17","2,291.6"
Total Debt,751.43,645.78,757.69,576.97,495.93,420.34,378.54,75.37
Debt Growth,16.36%,-14.77%,31.32%,16.34%,17.98%,11.04%,402.24%,-
Common Stock,547.57,573.01,596.32,591.78,557.65,402.32,338.99,209.78
Retained Earnings,335.79,271.68,191.1,159.03,102.52,61.35,50.93,-15.8
Comprehensive Income,-117.55,-8.3,18.05,-0.7,-9.5,-5.09,-7.27,-5.71
Shareholders' Equity,765.82,836.38,805.46,750.12,650.67,458.58,382.66,188.27
Total Liabilities and Equity,"7,362.94","6,696.17","6,390.65","5,521.81","4,942.57","3,366.13","3,295.83","2,479.87"
Net Cash / Debt,-572.08,-487.84,-674.27,-496.24,-374.07,-361.99,-332.01,-30.49
Book Value Per Share,20.43,22.18,20.88,19.65,17.92,15.64,13.08,-
