Year,2022,2021,2020,2019,2018,2017
Cash & Equivalents,203.82,192.96,168.59,136.14,129.18,94.16
Cash & Cash Equivalents,203.82,192.96,168.59,136.14,129.18,94.16
Cash Growth,5.63%,14.46%,23.83%,5.39%,37.19%,-
Receivables,31.8,20.92,15.43,17.19,13.18,8.72
"Property, Plant & Equipment",30.45,38.4,46.82,50.5,0,0
Goodwill and Intangibles,139.8,235.2,27.48,0,0,0
Total Assets,"3,613.7","2,946.63","2,009.05","2,201.87","1,739.94","1,215.04"
Total Liabilities,"3,066.1","2,342.74","1,542.42","1,713.11","1,393.39",998.31
Total Debt,"2,966.07","2,207.39","1,463.38","1,602.58","1,310.27",933.99
Debt Growth,34.37%,50.84%,-8.69%,22.31%,40.29%,-
Common Stock,541.5,520.04,430.2,412.25,294.02,287.6
Retained Earnings,6.1,83.85,36.43,76.68,52.66,-70.73
Comprehensive Income,0,0,0,-0.16,-0.13,-0.14
Shareholders' Equity,547.6,603.88,466.63,488.77,346.55,216.73
Total Liabilities and Equity,"3,613.7","2,946.63","2,009.05","2,201.87","1,739.94","1,215.04"
Net Cash / Debt,"-2,762.25","-2,014.43","-1,294.79","-1,466.44","-1,181.09",-839.83
Net Cash Per Share,-84.15,-66.43,-47.37,-136.26,-317.92,-347.07
Book Value Per Share,16.68,21.42,17.07,52.29,134.04,89.56
