Year,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cash & Equivalents,156.27,121.04,77.09,100.41,75.09,81.75,50.75,24.54,23.96
Cash & Cash Equivalents,156.27,121.04,77.09,100.41,75.09,81.75,50.75,24.54,23.96
Cash Growth,29.11%,57.01%,-23.22%,33.72%,-8.14%,61.07%,106.78%,2.45%,-
Receivables,326.21,193.97,141.86,107.06,81.04,69.38,95.87,123.15,90.48
Goodwill and Intangibles,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54
Total Assets,"2,747.12","2,025.66","1,546.9","1,090.55",773.06,667.85,614.39,545.28,437.6
Accounts Payable,63.39,39.36,26.32,19.52,11.66,9.75,12.84,11.24,10.13
Deferred Revenue,499.68,347.73,260.99,187.37,128.25,103.11,89.34,81.71,75.25
Total Liabilities,"2,001.67","1,326.32",970.66,684.67,509.08,429.66,404.18,431.83,345.02
Total Debt,195.75,42.7,42.57,16.74,0,0,0,29.6,27.48
Debt Growth,358.47%,0.30%,154.24%,-,-,-,-,7.71%,-
Common Stock,347.25,295.27,291.54,229.45,158.7,155.29,153.56,80.23,80.08
Retained Earnings,533.12,385.94,243.32,162.91,106.55,73.5,53.64,29.57,7.3
Comprehensive Income,-134.92,18.13,41.38,13.52,-1.26,9.4,3.01,3.65,5.21
Shareholders' Equity,745.45,699.34,576.24,405.88,263.99,238.19,210.21,113.45,92.59
Total Liabilities and Equity,"2,747.12","2,025.66","1,546.9","1,090.55",773.06,667.85,614.39,545.28,437.6
Net Cash / Debt,-39.47,78.34,34.52,83.66,75.09,81.75,50.75,-5.06,-3.53
Net Cash / Debt Growth,-,126.93%,-58.74%,11.42%,-8.14%,61.07%,-,-,-
Net Cash Per Share,-1.71,3.40,1.51,3.78,3.46,3.80,1.39,-0.37,-0.26
Book Value Per Share,32.67,30.82,25.82,18.85,12.52,11.35,5.80,8.22,6.71
