Year,2022,2021,2020
Cash & Equivalents,8.41,5.5,3
Cash & Cash Equivalents,8.39,5.5,3
Cash Growth,52.66%,83.11%,-
Receivables,6.05,0.55,0.25
Other Current Assets,-4.22,0,0
Total Current Assets,10.23,6.04,3.25
"Property, Plant & Equipment",1.07,0.01,0
Goodwill,19.27,0,0
Intangible Assets,10.62,0,0
Other Long-Term Assets,58.16,0,0
Total Long-Term Assets,89.11,0.01,0
Total Assets,99.34,7.52,4.57
Accounts Payable,59.8,0.04,0.11
Deferred Revenue,14.36,0.01,0.02
Current Debt,0.02,0,0
Other Current Liabilities,-24.61,0,0
Total Current Liabilities,49.57,0.05,0.13
Long-Term Debt,1.01,0,0
Other Long-Term Liabilities,43.65,0.05,0.13
Total Long-Term Liabilities,44.66,0.05,0.13
Total Liabilities,94.23,0.18,0.22
Total Debt,1.03,0,0
Common Stock,0,0,0
Retained Earnings,-39.7,0,0
Shareholders' Equity,5.11,7.34,4.35
Total Liabilities and Equity,99.34,7.52,4.57
Net Cash / Debt,7.38,5.5,3
Net Cash / Debt Growth,34.28%,83.11%,-
Net Cash Per Share,0.39,0.29,0.16
Working Capital,-39.34,5.99,3.12
Book Value Per Share,0.27,0.39,0.23
