Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,475,536,419,242,310,355,271,387,190,195,Upgrade
Cash & Cash Equivalents,475,536,419,242,310,355,271,387,190,195,Upgrade
Cash Growth,-11.38%,27.92%,73.14%,-21.94%,-12.68%,31.00%,-29.97%,103.68%,-2.56%,25.00%,Upgrade
Receivables,"8,574","8,408","7,064","6,628","6,749","6,553","6,625","6,531","6,630","7,996",Upgrade
"Property, Plant & Equipment",226,226,252,282,324,326,310,343,295,304,Upgrade
Goodwill and Intangibles,144,148,148,147,146,148,145,150,152,155,Upgrade
Total Assets,"61,000","66,639","64,026","60,612","57,152","56,567","55,233","55,045","55,566","57,194",Upgrade
Deferred Revenue,"11,088","10,264","9,142","8,362","7,585","5,001","3,762","3,671","3,592","3,718",Upgrade
Total Liabilities,"52,452","53,830","51,319","48,397","45,935","44,323","43,264","43,289","42,772","44,543",Upgrade
Total Debt,"2,781","2,779","2,776","2,679","2,680","2,858","2,710","2,560","2,559","2,560",Upgrade
Debt Growth,0.07%,0.11%,3.62%,-0.04%,-6.23%,5.46%,5.86%,0.04%,-0.04%,-0.39%,Upgrade
Common Stock,"2,810","2,826","2,823","2,816","2,818","2,798","2,783","2,758","2,749","2,714",Upgrade
Retained Earnings,"9,336","9,663","9,081","9,348","9,277","9,414","9,359","9,313","9,645","9,495",Upgrade
Comprehensive Income,"-3,598",320,803,51,-878,32,-173,-315,400,442,Upgrade
Shareholders' Equity,"8,548","12,809","12,707","12,215","11,217","12,244","11,969","11,756","12,794","12,651",Upgrade
Total Liabilities and Equity,"61,000","66,639","64,026","60,612","57,152","56,567","55,233","55,045","55,566","57,194",Upgrade
Net Cash / Debt,"-2,306","-2,243","-2,357","-2,437","-2,370","-2,503","-2,439","-2,173","-2,369","-2,365",Upgrade
Net Cash Per Share,-8.46,-8.22,-8.65,-8.94,-8.70,-9.20,-9.00,-8.03,-8.75,-8.75,Upgrade
Book Value Per Share,31.47,47.13,46.79,44.97,41.31,45.16,44.26,43.51,47.40,46.91,Upgrade
