Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Cash & Equivalents,28.04,9.91,8.19,7.46,10.79,11.87,12.49,12.7,18.49,11.3
Cash & Cash Equivalents,28.04,9.91,8.19,7.46,10.79,11.87,12.49,12.7,18.49,11.3
Cash Growth,182.81%,20.99%,9.77%,-30.84%,-9.07%,-5.00%,-1.65%,-31.29%,63.67%,-
Receivables,39.46,35.28,21.49,21.73,26.66,25.12,30.41,19.8,14.48,12.3
Goodwill and Intangibles,0,0,0,0,0,0,0,0,0,2.35
Total Assets,312.35,290.4,261.6,247.27,232.75,239.03,203.7,177.93,163.74,96.86
Accounts Payable,26.1,11.98,8.69,9.97,5.75,11.61,5.38,3.83,9.59,3.34
Deferred Revenue,67.89,65.27,56.22,51.5,52.85,57.67,58.13,47.92,43.38,27.91
Total Liabilities,293.4,249.9,217.18,204.54,190.59,186.21,135.91,100.67,113.46,75.61
Total Debt,33.88,33.56,41,35.82,33.5,29.03,17.75,12.75,27.56,13.09
Debt Growth,0.93%,-18.13%,14.44%,6.93%,15.42%,63.53%,39.22%,-53.74%,110.61%,-
Common Stock,97.91,92.69,92.49,91.82,86.53,86.2,80.34,80.11,46.12,16.88
Retained Earnings,-60.76,-50.08,-48.99,-49.58,-41.76,-33.01,-11.47,-3.03,-3.1,3.85
Comprehensive Income,-18.2,-2.11,0.91,0.49,-2.61,-0.36,-1.08,0.18,1.16,0.54
Shareholders' Equity,18.95,40.5,44.41,42.73,42.16,52.83,67.79,77.26,44.18,21.27
Total Liabilities and Equity,312.35,290.4,261.6,247.27,232.75,239.03,203.7,177.93,157.64,96.88
Net Cash / Debt,-5.84,-23.65,-32.8,-28.36,-22.71,-17.16,-5.26,-0.05,-9.07,-1.79
Net Cash Per Share,-0.55,-2.44,-3.41,-3.19,-2.66,-2.18,-0.69,-0.01,-3.40,-1.02
Book Value Per Share,1.77,4.18,4.61,4.81,4.93,6.71,8.90,14.39,16.53,12.16
