Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,40.26,97.04,35.37,44.7,17.14,30.42,29.45,20.97,19.51,28.2,Upgrade
Cash & Cash Equivalents,40.26,97.04,35.37,44.7,17.14,30.42,29.45,20.97,19.51,28.2,Upgrade
Cash Growth,-58.51%,174.38%,-20.87%,160.76%,-43.66%,3.30%,40.46%,7.45%,-30.82%,507.69%,Upgrade
"Property, Plant & Equipment",49.59,58.08,56.3,50.92,40.23,37.54,31.72,30.63,28.54,28.2,Upgrade
Goodwill and Intangibles,43.15,44.04,32.23,31.04,19.79,19.93,3.23,3.18,3.22,2.68,Upgrade
Total Assets,"2,753.81","2,513.2","2,321.18","2,148.92","1,786.47","1,622.73","1,158.96","1,031.56",879.35,634.95,Upgrade
Total Liabilities,"2,538.03","2,270.61","2,077.9","1,906.94","1,604.21","1,450.01","1,046.2",922.21,775.97,579.46,Upgrade
Total Debt,439.74,135.66,175,183.32,232.55,212.55,126.5,170.21,141.69,44.63,Upgrade
Debt Growth,224.16%,-22.48%,-4.54%,-21.17%,9.41%,68.03%,-25.68%,20.13%,217.47%,44.77%,Upgrade
Common Stock,156.49,165.28,170.09,179.89,139.62,141.1,88.6,91.36,91.45,49.22,Upgrade
Retained Earnings,108.21,76.16,71.39,60.2,45.72,33.2,26.23,18.65,11.81,6.61,Upgrade
Comprehensive Income,-48.91,1.16,1.81,1.89,-3.08,-1.57,-2.07,-0.66,0.12,-0.35,Upgrade
Shareholders' Equity,215.78,242.6,243.28,241.98,182.26,172.73,112.76,109.35,103.38,55.48,Upgrade
Total Liabilities and Equity,"2,753.81","2,513.2","2,321.18","2,148.92","1,786.47","1,622.73","1,158.96","1,031.56",879.35,634.95,Upgrade
Net Cash / Debt,-399.48,-38.62,-139.63,-138.62,-215.41,-182.13,-97.05,-149.24,-122.18,-16.43,Upgrade
Book Value Per Share,21.82,23.45,22.90,24.36,19.09,19.81,15.85,15.05,14.25,-,Upgrade
