Year,2022,2021,2020,2019,2018,2017,2016
Cash & Equivalents,"1,772.18","2,231.44","1,960.92","1,838.87","3,339.88","1,340.69",284.73
Cash & Cash Equivalents,"1,772.18","2,231.44","1,960.92","1,838.87","3,339.88","1,340.69",284.73
Cash Growth,-20.58%,13.80%,6.64%,-44.94%,149.12%,370.86%,-
"Property, Plant & Equipment",32.06,19.24,24.18,47.33,19.17,22.47,18.68
Goodwill and Intangibles,3.49,4.01,3.23,3.74,4.18,3.34,3
Total Assets,"14,481.92","14,386.17","12,233.5","13,026.25","19,354.72","18,215.87","7,806.36"
Accounts Payable,0,0,0,0,0,0,32.49
Total Liabilities,"10,544.21","10,567.88","8,492.25","9,427.72","16,309.16","16,384.62","6,687.67"
Total Debt,"7,868.78","8,102.66","6,177.79","7,561.05","15,324.78","15,707.94","6,293.03"
Debt Growth,-2.89%,31.16%,-18.29%,-50.66%,-2.44%,149.61%,-
Common Stock,937.49,"1,019.35","1,000.58",938.51,922.62,569.13,386.44
Retained Earnings,"2,958.72","2,824.34","2,759.13","2,662.15","2,127.5","1,266.59",733.92
Comprehensive Income,-10.21,-25.39,-18.46,-2.12,-4.57,-4.47,-1.67
Shareholders' Equity,"3,885.99","3,818.29","3,741.25","3,598.53","3,045.56","1,831.25","1,118.69"
Total Liabilities and Equity,"14,430.2","14,386.17","12,233.5","13,026.25","19,354.72","18,215.87","7,806.36"
Net Cash / Debt,"-6,096.6","-5,871.23","-4,216.87","-5,722.18","-11,984.9","-14,367.25","-6,008.3"
Book Value Per Share,56.66,55.67,54.55,52.47,44.77,26.92,-
