Year,2022,2021,2020,2019,2018,2017,2016,2015
Cash & Equivalents,"3,572.75","2,243.42","1,672.96","4,349.72","2,841.01","9,084.95",785.77,210.11
Short-Term Investments,"5,379.69","8,330.03","9,162.39","8,292.95","8,926.47","9,067.05","5,256.99","2,109.77"
Cash & Cash Equivalents,"8,952.43","10,573.45","10,835.35","12,642.67","11,767.48","18,152","6,042.76","2,319.88"
Cash Growth,-15.33%,-2.42%,-14.30%,7.44%,-35.17%,200.39%,160.48%,-
Receivables,0,27.96,92.81,"2,741.91",903.44,0,585.91,34.93
Other Current Assets,"2,106.09","1,616.68",762.31,"1,638.9","1,818.22","1,033.57",300.28,89.73
Total Current Assets,"11,058.53","12,218.09","11,690.48","17,023.49","14,489.14","19,185.57","6,928.94","2,444.55"
"Property, Plant & Equipment",877.03,959.71,513.87,241.67,26.22,4.61,4.89,1.88
Long-Term Investments,350.1,372.08,611.01,781.65,"1,348.09",62.42,153.02,177.58
Goodwill and Intangibles,9.7,11.01,8.48,6.8,113.81,5.91,0.13,0.03
Other Long-Term Assets,451.08,530.24,574.2,307.98,276.1,121.91,30.62,51.56
Total Long-Term Assets,"1,687.91","1,873.04","1,707.56","1,338.11","1,764.23",194.84,188.66,231.05
Total Assets,"12,746.44","14,091.13","13,398.03","18,361.6","16,253.37","19,380.42","7,117.6","2,675.6"
Accounts Payable,0,0,0,0,0,0,20.47,"1,606.11"
Current Debt,35.37,37.47,23.76,"1,071.49","3,860.44","7,979.41","4,183.23","1,562.88"
Other Current Liabilities,549.56,456.05,448.85,"2,825.83","1,158.92","1,350.61",324.25,48.61
Total Current Liabilities,584.93,493.52,472.61,"3,897.32","5,019.36","9,330.02","4,527.96","3,217.61"
Long-Term Debt,116.68,995.51,"1,004.66","2,361.25",413.4,510.02,76.05,89.36
Other Long-Term Liabilities,2.12,78.56,10.92,178.98,0,0,0,0
Total Long-Term Liabilities,118.79,"1,074.07","1,015.58","2,540.23",413.4,510.02,76.05,89.36
Total Liabilities,703.72,"1,567.59","1,488.19","6,437.55","5,432.76","9,840.05","4,604.01","3,306.96"
Total Debt,152.05,"1,032.98","1,028.42","3,432.73","4,273.84","8,489.44","4,259.28","1,652.24"
Debt Growth,-85.28%,0.44%,-70.04%,-19.68%,-49.66%,99.32%,157.79%,-
Common Stock,"3,549.42","3,671.23","3,635.88","3,605.78","5,798.52","7,150.76",80.51,58.32
Retained Earnings,"8,539.25","8,904.45","8,315.38","8,331.24","5,066.95","2,467.55","-3,510.9","-6,633.67"
Comprehensive Income,-45.96,-59,-51.42,-12.97,-44.86,-77.95,0,0
Shareholders' Equity,"12,042.71","12,516.69","11,899.84","11,924.05","10,820.61","9,540.37","-3,430.39","-6,575.35"
Total Liabilities and Equity,"12,746.44","14,084.27","13,388.03","18,361.6","16,253.37","19,380.42","1,173.62","-3,268.38"
Net Cash / Debt,"8,800.39","9,540.47","9,806.93","9,209.94","7,493.64","9,662.57","1,783.48",667.64
Net Cash / Debt Growth,-7.76%,-2.72%,6.48%,22.90%,-22.45%,441.78%,167.13%,-
Net Cash Per Share,35.77,35.83,35.75,30.65,23.28,31.66,5.87,8.42
Working Capital,"10,473.6","11,724.57","11,217.87","13,126.17","9,469.78","9,855.55","2,400.99",-773.06
Book Value Per Share,48.95,49.39,46.91,42.81,33.95,75.48,-43.26,-82.91
