Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,48.04,44.17,18.48,16.13,17.47,25.11,9.19,10.88,2.05,13.66,Upgrade
Cash & Cash Equivalents,48.04,44.17,18.48,16.13,17.47,25.11,9.19,10.88,2.05,13.66,Upgrade
Cash Growth,8.76%,139.07%,14.53%,-7.64%,-30.44%,173.12%,-15.46%,431.42%,-85.02%,-78.01%,Upgrade
Receivables,0.75,0.59,0.24,0.15,0.18,0.03,0,0.02,0,0.04,Upgrade
Total Assets,898.18,821.26,674.91,648.51,526.29,400.26,379.88,365.37,327.06,298.13,Upgrade
Accounts Payable,11.6,8.98,4.42,5.61,4.59,2.32,3.23,2.52,3.07,2.59,Upgrade
Deferred Revenue,0.32,0.53,0.52,0.56,0.41,0.14,0.02,0.04,0.16,0.15,Upgrade
Total Liabilities,622.41,536.15,401.55,377.94,301.44,180.01,209,200.72,153.11,122.24,Upgrade
Total Debt,604.13,518.17,393.2,366.03,292.27,174.46,203.08,195.59,147.75,119,Upgrade
Debt Growth,16.59%,31.78%,7.42%,25.24%,67.53%,-14.09%,3.83%,32.38%,24.16%,43.37%,Upgrade
Common Stock,275.13,274.58,276.05,272.14,228.18,231.53,181.01,181.01,181.01,175.63,Upgrade
Retained Earnings,0.64,10.53,-2.69,-1.57,-3.33,-11.22,-13.53,-0.78,-0.78,-0.24,Upgrade
Comprehensive Income,0,0,0,0,0,-0.06,3.4,-15.58,-6.28,0.5,Upgrade
Shareholders' Equity,275.78,285.11,273.36,270.57,224.85,220.25,170.88,164.65,173.95,175.89,Upgrade
Total Liabilities and Equity,898.18,821.26,674.91,648.51,526.29,400.26,379.88,365.37,327.06,298.13,Upgrade
Net Cash / Debt,-556.09,-474,-374.73,-349.9,-274.8,-149.35,-193.89,-184.72,-145.7,-105.34,Upgrade
Net Cash Per Share,-28.44,-24.32,-19.24,-19.15,-17.22,-10.04,-15.54,-14.80,-11.86,-8.73,Upgrade
Book Value Per Share,14.10,14.63,14.04,14.80,14.09,14.81,13.69,13.19,14.16,14.59,Upgrade
