Year,2022,2021,2020,2019,2018,2017
Cash & Equivalents,"10,512.36","8,759.95","6,774.27","3,835.85","2,013.6",956.43
Short-Term Investments,"18,386.74","13,650.72","11,066.11","11,152.12","2,005.05","1,462.43"
Cash & Cash Equivalents,"28,899.1","22,410.67","17,840.38","14,987.97","4,018.65","2,418.86"
Cash Growth,28.95%,25.62%,19.03%,272.96%,66.14%,-
Receivables,"4,288.73","3,473.88","2,833.93","2,470.73","1,934.37",564.8
Other Current Assets,909.64,"1,872.67","1,201.74","2,044.79","1,389",33.91
Total Current Assets,"34,097.47","27,757.22","21,876.04","19,503.49","7,342.02","3,017.57"
"Property, Plant & Equipment",47.6,24.94,19.36,17.11,6.87,5.99
Long-Term Investments,"3,825.84","3,457.31",733.01,59.27,0,0
Goodwill and Intangibles,"1,002.88","1,023.87",3.4,3.51,0.85,0.26
Other Long-Term Assets,"1,369.38","1,241.65","1,755.49",772.22,0,75.54
Total Long-Term Assets,"6,245.7","5,747.77","2,511.26",852.11,7.72,81.79
Total Assets,"40,343.17","33,505","24,387.31","20,355.6","7,349.74","3,099.36"
Accounts Payable,"10,734.82","6,529.17","4,658.09","7,921.84",379.11,"1,820.88"
Current Debt,150,397.58,186.8,200,0,0
Other Current Liabilities,"5,865.1","7,216.44","8,539.62","1,545.35","2,514.67",544.33
Total Current Liabilities,"16,749.92","14,143.19","13,384.51","9,667.19","2,893.78","2,365.21"
Other Long-Term Liabilities,"4,661.96","4,145.2","1,521.71","3,473.68",15.76,0
Total Long-Term Liabilities,"4,661.96","4,145.2","1,521.71","3,473.68",15.76,0
Total Liabilities,"21,411.87","18,288.39","14,906.22","13,140.87","2,909.54","2,365.21"
Total Debt,150,397.58,186.8,200,0,0
Debt Growth,-62.27%,112.84%,-6.60%,-,-,-
Common Stock,"6,095.25","5,672.29","5,417.43","5,117.2","4,866.78",590
Retained Earnings,"12,803.68","9,642.51","4,137.54","2,071.33",-430.26,144.15
Comprehensive Income,-51.78,-110.93,-74.39,24.91,3.68,0
Shareholders' Equity,"18,847.16","15,203.86","9,480.58","7,213.44","4,440.2",734.15
Total Liabilities and Equity,"40,259.03","33,492.25","24,386.79","20,354.31","7,349.74","3,099.36"
Net Cash / Debt,"28,749.1","22,013.1","17,653.58","14,787.97","4,018.65","2,418.86"
Net Cash / Debt Growth,30.60%,24.69%,19.38%,267.98%,66.14%,-
Net Cash Per Share,91.97,71.64,59.20,51.20,19.82,12.20
Working Capital,"17,347.55","13,614.04","8,491.53","9,836.3","4,448.24",652.36
Book Value Per Share,120.59,98.96,63.58,49.95,43.80,7.40
