Year,2022,2021,2020,2019,2018
Cash & Equivalents,12.54,15,6.45,3.93,9.06
Cash & Cash Equivalents,12.54,15,6.45,3.93,9.06
Cash Growth,-16.37%,132.60%,64.00%,-56.59%,-
Receivables,0.61,0.29,0,0,0.16
Other Current Assets,0,0,0,0,-9.21
Total Current Assets,13.15,15.28,6.45,3.93,0
Long-Term Investments,145.77,149.67,56.89,64.15,41.88
Other Long-Term Assets,0,0,0,0,-41.88
Total Long-Term Assets,145.77,149.67,56.89,64.15,0
Total Assets,159.03,165.21,63.59,68.13,51.1
Accounts Payable,0,5.9,0,0.32,0.59
Other Current Liabilities,0,0,0,0,-0.59
Total Current Liabilities,0,5.9,0,0.32,0
Other Long-Term Liabilities,0,5.9,0,0.32,0
Total Long-Term Liabilities,0,5.9,0,0.32,0
Total Liabilities,64.82,57.11,0,22.28,0.71
Common Stock,0.01,0.01,0,0,0
Retained Earnings,-15.34,11.74,-11.83,-5.09,0.42
Shareholders' Equity,94.21,108.1,41.48,45.86,50.39
Total Liabilities and Equity,159.03,165.21,63.59,68.13,51.1
Net Cash / Debt,12.54,15,6.45,3.93,9.06
Net Cash / Debt Growth,-16.37%,132.60%,64.00%,-56.59%,-
Net Cash Per Share,1.62,1.94,1.99,1.51,3.62
Working Capital,13.15,9.39,6.45,3.61,0
Book Value Per Share,12.20,14.00,12.81,17.63,20.11
