Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,55.05,104.95,101.86,35.2,37.49,40.24,32.11,36.06,36.05,44.62,Upgrade
Cash & Cash Equivalents,55.05,104.95,101.86,35.2,37.49,40.24,32.11,36.06,36.05,44.62,Upgrade
Cash Growth,-47.55%,3.03%,189.35%,-6.10%,-6.85%,25.34%,-10.96%,0.04%,-19.21%,-25.43%,Upgrade
"Property, Plant & Equipment",21.57,20.68,21.53,17.17,14.59,15.43,15.4,15.41,16.26,17.43,Upgrade
Goodwill and Intangibles,55.38,55.82,56.36,29.64,11.95,11.95,11.96,11.97,11.99,12.03,Upgrade
Total Assets,"2,454.31","2,327.65","2,239.1","1,654.15","1,290.89","1,276.96","1,242.29","1,223.42","1,241.96","1,237.7",Upgrade
Total Liabilities,"2,204.98","2,026.24","1,939.34","1,409.69","1,093.53","1,088.52","1,056.28","1,035.93","1,053.6","1,058.22",Upgrade
Total Debt,181.78,77.56,91.18,144.85,48.77,70.96,64.63,92.26,78.6,96.72,Upgrade
Debt Growth,134.39%,-14.95%,-37.05%,197.01%,-31.27%,9.79%,-29.95%,17.39%,-18.74%,8.22%,Upgrade
Common Stock,147.46,153.77,158.26,114.28,78.9,76.34,74.12,75.51,77.45,79.25,Upgrade
Retained Earnings,151.74,142.61,129.7,126.48,122.64,113.61,112.79,109.45,105.55,101.22,Upgrade
Comprehensive Income,-49.88,5.03,11.8,3.69,-4.17,-1.51,-0.9,2.53,5.36,-0.99,Upgrade
Shareholders' Equity,249.33,301.41,299.76,244.45,197.37,188.44,186.01,187.49,188.36,179.47,Upgrade
Total Liabilities and Equity,"2,454.31","2,327.65","2,239.1","1,654.15","1,290.89","1,276.96","1,242.29","1,223.42","1,241.96","1,237.7",Upgrade
Net Cash / Debt,-126.73,27.39,10.67,-109.65,-11.28,-30.71,-32.52,-56.2,-42.55,-52.1,Upgrade
Net Cash / Debt Growth,-,156.63%,-,-,-,-,-,-,-,-,Upgrade
Book Value Per Share,16.09,19.14,18.86,17.84,16.05,15.45,15.39,15.39,15.32,14.51,Upgrade
