Year,2022,2021,2020,2019
Cash & Equivalents,193.27,83.87,107.35,60.11
Short-Term Investments,-,122.18,45.85,14.42
Cash & Cash Equivalents,193.27,206.05,153.2,74.53
Cash Growth,-6.21%,34.50%,105.55%,-
Receivables,53.8,35.38,32.91,32.5
Other Current Assets,-,40.32,5.18,0.49
Total Current Assets,-,281.75,191.3,107.52
"Property, Plant & Equipment",0,0,4.16,5.08
Long-Term Investments,-,48.37,16.02,141.59
Goodwill and Intangibles,60.88,13.27,14.74,16.39
Other Long-Term Assets,-,502.9,199.8,3.01
Total Long-Term Assets,-,564.55,234.71,166.06
Total Assets,"1,154.84",846.29,426.01,273.58
Accounts Payable,76.91,59.72,11.14,7.32
Deferred Revenue,3.45,3.5,3.7,1.32
Current Debt,-,12,16.46,34.97
Other Current Liabilities,-,24.9,43.05,34.87
Total Current Liabilities,-,100.12,74.34,78.47
Long-Term Debt,-,148.14,147.71,2.08
Other Long-Term Liabilities,-,48.29,2.49,2.71
Total Long-Term Liabilities,-,196.43,150.2,4.79
Total Liabilities,508.52,296.56,224.54,83.26
Total Debt,305.93,160.15,164.17,37.05
Debt Growth,91.03%,-2.45%,343.14%,-
Common Stock,65.09,54.62,186.09,174.47
Retained Earnings,14.23,17.18,0,-
Comprehensive Income,-0.22,-0.02,0,0
Shareholders' Equity,79.1,71.79,186.1,174.47
Total Liabilities and Equity,587.61,368.34,410.64,257.72
Net Cash / Debt,-112.66,45.91,-10.97,37.48
Net Cash Per Share,-4.71,2.04,-,-
Working Capital,-,181.62,116.96,29.05
Book Value Per Share,3.31,3.19,1.70,-
