Year,2022,2021,2020,2019,2018,2017
Cash & Equivalents,68.16,50.37,33.79,33.35,9.92,10.93
Cash & Cash Equivalents,68.16,50.37,33.79,33.35,9.92,10.93
Cash Growth,35.32%,49.09%,1.31%,236.04%,-9.22%,-
Receivables,162.86,88.01,48.84,36.24,18.63,15.34
"Property, Plant & Equipment",0.6,0.53,0.74,0.85,0.95,0.83
Goodwill and Intangibles,8.26,9.5,11.51,0.74,0.74,0.74
Total Assets,"1,306.45",925.73,729.09,395.46,231.13,188.36
Accounts Payable,171.89,58.74,42.96,24.94,19.85,11.57
Deferred Revenue,471.31,284.67,183.49,130.37,79.13,61.98
Total Liabilities,921.7,531.57,365.38,176.91,134.84,109.94
Total Debt,36.4,0,0,0,19.08,17.09
Debt Growth,-,-,-,-,11.66%,-
Common Stock,333.56,318.91,310.51,180.01,68.5,68.5
Retained Earnings,87.71,69.95,39.96,33.86,28.36,6.92
Comprehensive Income,-36.52,5.31,13.25,4.69,-0.56,2.99
Shareholders' Equity,384.75,394.17,363.71,218.56,96.29,78.41
Total Liabilities and Equity,"1,306.45",925.73,729.09,395.46,231.13,188.36
Net Cash / Debt,31.76,50.37,33.79,33.35,-9.16,-6.16
Net Cash / Debt Growth,-36.94%,49.09%,1.31%,-,-,-
Net Cash Per Share,1.23,1.93,1.32,1.53,-0.54,-0.36
Book Value Per Share,15.24,15.48,14.62,10.16,5.66,4.61
