Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Cash & Equivalents,80.63,153.12,83.82,59.66,28.61,47.69,10.71,20.46,9.56,15.36
Cash & Cash Equivalents,80.63,153.12,83.82,59.66,28.61,47.69,10.71,20.46,9.56,15.36
Cash Growth,-47.34%,82.67%,40.50%,108.50%,-40.00%,345.48%,-47.69%,114.10%,-37.76%,-
"Property, Plant & Equipment",17.52,18.36,18.97,18.44,16.09,10.98,11.59,11.61,10.5,10.69
Total Assets,"1,636.38","1,729.28","1,505.78","1,121.79",974.08,902.27,795.54,743.4,658.61,624.66
Total Liabilities,"1,428.84","1,495.5","1,269.93",890.86,848.5,786.49,686.39,641.99,582.82,554.83
Total Debt,131.11,17.89,17.99,28.88,68.02,26.84,49.86,57.42,39.24,40.99
Debt Growth,633.00%,-0.56%,-37.70%,-57.55%,153.43%,-46.17%,-13.17%,46.35%,-4.27%,-
Common Stock,115.11,115.05,130.29,136.32,42.49,41.14,40.3,39.83,17.42,17.42
Retained Earnings,94.63,118.09,104.51,94.16,83.35,74.05,66.23,59.89,55.96,51.57
Comprehensive Income,-2.2,0.65,1.06,0.46,-0.26,0.59,2.62,1.69,2.41,0.84
Shareholders' Equity,207.54,233.78,235.86,230.93,125.58,115.78,109.15,101.41,75.79,69.83
Total Liabilities and Equity,"1,636.38","1,729.28","1,505.78","1,121.79",974.08,902.27,795.54,743.4,658.61,624.66
Net Cash / Debt,-50.48,135.23,65.83,30.78,-39.41,20.85,-39.15,-36.96,-29.68,-25.63
Net Cash / Debt Growth,-,105.42%,113.86%,-,-,-,-,-,-,-
Net Cash Per Share,-3.06,7.82,3.63,1.70,-2.10,1.12,-2.11,-,-,-
Book Value Per Share,12.59,13.94,13.04,12.86,6.72,6.23,5.88,5.28,3.95,-
