Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,71.43,138.79,133.87,87.17,56.37,64.16,94.24,142.96,115.44,111.35,Upgrade
Cash & Cash Equivalents,71.43,138.79,133.87,87.17,56.37,64.16,94.24,142.96,115.44,111.35,Upgrade
Cash Growth,-48.53%,3.67%,53.57%,54.63%,-12.14%,-31.92%,-34.08%,23.84%,3.68%,-0.03%,Upgrade
"Property, Plant & Equipment",10.37,9.72,10.04,8.92,8.65,8.22,8.85,9.02,9.13,9.95,Upgrade
Goodwill and Intangibles,5.85,5.85,5.85,5.85,5.85,5.9,5.97,6.22,7.22,8.3,Upgrade
Total Assets,"1,677.55","1,702.18","1,519.67","1,321.84","1,256.03","1,256.76","1,233.94","1,203.52","1,154.73","1,110.63",Upgrade
Total Liabilities,"1,554.86","1,510.42","1,319.07","1,138.11","1,065.79","1,071.86","1,055.68","1,031.41",988.43,964.74,Upgrade
Common Stock,7.36,7.58,8.04,8.11,8.7,8.7,8.7,8.7,8.69,8.69,Upgrade
Retained Earnings,199.09,188.23,189.55,184.12,193.63,185.89,178.22,171.35,163.29,154.17,Upgrade
Comprehensive Income,-83.77,-4.06,3.02,-8.51,-12.09,-9.7,-8.66,-7.94,-5.67,-16.96,Upgrade
Shareholders' Equity,122.69,191.75,200.61,183.73,190.24,184.9,178.26,172.11,166.3,145.89,Upgrade
Total Liabilities and Equity,"1,677.55","1,702.18","1,519.67","1,321.84","1,256.03","1,256.76","1,233.94","1,203.52","1,154.73","1,110.63",Upgrade
Net Cash / Debt,71.43,138.79,133.87,87.17,56.37,64.16,94.24,142.96,115.44,111.35,Upgrade
Net Cash / Debt Growth,-48.53%,3.67%,53.57%,54.63%,-12.14%,-31.92%,-34.08%,23.84%,3.68%,-0.03%,Upgrade
Book Value Per Share,20.63,31.50,30.96,28.31,27.34,26.57,25.62,24.74,23.93,21.00,Upgrade
