Year,2022,2021,2020,2019
Cash & Equivalents,1.91,4.62,0.53,0.49
Short-Term Investments,0,0,0,0
Cash & Cash Equivalents,1.91,4.62,0.53,0.5
Cash Growth,-58.67%,766.27%,7.67%,-
Receivables,1.11,1.03,0.86,0.12
Other Current Assets,0.25,2.33,0.04,0.03
Total Current Assets,3.27,7.98,1.44,0.65
"Property, Plant & Equipment",1.37,1.2,0.51,1.16
Long-Term Investments,0.9,1.35,1.35,0
Goodwill and Intangibles,32.87,17.13,14.74,15.18
Other Long-Term Assets,0.02,0.02,0,0
Total Long-Term Assets,35.16,19.69,16.61,16.35
Total Assets,38.43,27.68,18.04,16.99
Accounts Payable,2.93,2.84,1.21,0.16
Current Debt,1.79,1.19,5.68,4.51
Other Current Liabilities,3.07,40.95,0,0
Total Current Liabilities,7.79,44.98,6.88,4.67
Long-Term Debt,14.73,8.24,8.29,8.83
Other Long-Term Liabilities,6.99,0.52,2.93,2.85
Total Long-Term Liabilities,21.72,8.76,11.22,11.68
Total Liabilities,29.52,53.74,18.11,16.35
Total Debt,16.52,9.43,13.97,13.34
Debt Growth,75.15%,-32.47%,4.73%,-
Common Stock,35.9,7.39,12.3,9.43
Retained Earnings,-26.99,-33.46,-12.36,-8.78
Shareholders' Equity,8.91,-26.07,-0.06,0.64
Total Liabilities and Equity,38.43,27.68,18.04,16.99
Net Cash / Debt,-14.61,-4.81,-13.44,-12.84
Net Cash Per Share,-13.35,-7.15,-48.18,-66.95
Working Capital,-4.53,-37,-5.45,-4.02
Book Value Per Share,8.14,-38.72,-0.23,3.35
