Year,2022,2021,2020,2019,2018,2017,2016,2015
Cash & Equivalents,164.12,149.16,65.19,61.81,30.56,43.08,42.99,33.15
Cash & Cash Equivalents,164.12,149.16,65.19,61.81,30.56,43.08,42.99,33.15
Cash Growth,10.03%,128.82%,5.47%,102.23%,-29.05%,0.20%,29.68%,-
"Property, Plant & Equipment",2.7,3.33,3.02,2.84,2.69,2.55,2.77,0.33
Total Assets,"1,395.64","1,178.77",936.71,798.01,663.9,533.56,424.83,352.65
Total Liabilities,"1,237.48","1,035.04",810.64,686.95,571.13,450.17,372.65,303.23
Total Debt,0,0,0,0.09,0.09,0.28,0.37,0.38
Debt Growth,-,-,-,-3.37%,-67.99%,-25.07%,-2.62%,-
Common Stock,95.56,93.13,91.13,89.76,88.61,86.73,58.9,58.51
Retained Earnings,77.71,51.46,33.54,20.92,6.77,-1.96,-5.83,-8.65
Comprehensive Income,-15.12,-0.85,1.41,0.39,-2.61,-1.39,-0.88,-0.43
Shareholders' Equity,158.16,143.74,126.08,111.06,92.77,83.38,52.19,49.43
Total Liabilities and Equity,"1,395.64","1,178.77",936.71,798.01,663.9,533.56,424.83,352.65
Net Cash / Debt,164.12,149.16,65.19,61.72,30.47,42.8,42.62,32.77
Net Cash / Debt Growth,10.03%,128.82%,5.61%,102.54%,-28.80%,0.42%,30.05%,-
Book Value Per Share,19.41,18.32,16.45,14.73,12.46,11.38,7.24,-
