Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Cash & Equivalents,173.24,200.48,299.51,215.95,106.11,145.62,152.43,83.15,38.53,29.66
Cash & Cash Equivalents,173.24,200.48,299.51,215.95,106.11,145.62,152.43,83.15,38.53,29.66
Cash Growth,-13.59%,-33.06%,38.70%,103.52%,-27.13%,-4.47%,83.32%,115.79%,29.90%,-
Receivables,317.75,289.27,233.17,227.52,217.77,190.39,227.56,169.59,211.6,189.8
"Property, Plant & Equipment",149.72,175.06,189.63,203.64,34.81,33.79,38.16,31.49,5.11,0
Goodwill and Intangibles,190.61,197.11,204.76,212.53,225.19,84.58,87,99.42,88.67,91.32
Total Assets,"1,050.65",987.63,"1,171.61",952.78,671.82,558.97,590.48,467.25,347.95,319.66
Accounts Payable,24.78,23.75,25.94,24.77,24.66,16.87,17.35,29.53,4.82,4.52
Deferred Revenue,13,12.95,9.76,14.19,7.86,0.38,0.79,0.48,1.57,0.81
Total Liabilities,291.09,350.05,483.76,378.26,184.07,136.51,177.06,125.32,15.63,18.33
Total Debt,135.63,157.01,172.29,204.42,30,0,0,0,0,0
Debt Growth,-13.62%,-8.87%,-15.72%,581.41%,-,-,-,-,-,-
Common Stock,126.41,124.53,185.97,176.16,144.01,28.56,9.33,43.31,331.31,301.56
Retained Earnings,60.97,-4.93,-33.13,-144.92,-169.84,-185.99,-17.95,-11.18,0,-
Comprehensive Income,-2.27,0.63,1.41,0.15,-0.63,0.16,0.06,-0.05,1.01,-0.23
Shareholders' Equity,185.11,120.23,154.26,31.39,-26.46,-157.28,-8.56,32.08,332.32,301.33
Total Liabilities and Equity,476.2,470.29,638.02,409.65,157.61,-20.77,168.5,157.4,347.95,319.66
Net Cash / Debt,37.61,43.47,127.22,11.53,76.11,145.62,152.43,83.15,38.53,29.66
Net Cash / Debt Growth,-13.48%,-65.83%,1003.78%,-84.86%,-47.73%,-4.47%,83.32%,115.79%,29.90%,-
Net Cash Per Share,1.41,1.03,2.95,0.46,3.14,7.72,8.33,4.55,2.11,-
Book Value Per Share,7.38,4.82,6.30,1.31,-1.21,-8.34,-0.47,1.76,18.21,-
