Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Cash & Equivalents,45.6,126.02,65.16,48.74,26.32,24.29,22.65,45.03,18.96,22.95
Cash & Cash Equivalents,45.6,126.02,65.16,48.74,26.32,24.29,22.65,45.03,18.96,22.95
Cash Growth,-63.82%,93.41%,33.68%,85.16%,8.36%,7.25%,-49.70%,137.50%,-17.38%,-
"Property, Plant & Equipment",18.09,19.83,14.79,14.34,15.26,13.24,13.52,12.58,12.29,11.44
Goodwill and Intangibles,1.09,1.18,0,0,0,0,0,0,0,0
Total Assets,"2,042.07","1,921.08","1,654.35","1,307.34","1,258.76","1,087.68","1,010.1",936.8,795.29,784.51
Total Liabilities,"1,883.79","1,730.6","1,467.97","1,130.49","1,086.49",909.96,820.36,746.12,714.3,705.89
Total Debt,286.73,120.39,111.09,114.08,137.64,78.57,81.71,90.97,106.17,100.7
Debt Growth,138.17%,8.37%,-2.61%,-17.12%,75.18%,-3.85%,-10.17%,-14.32%,5.43%,-
Common Stock,87.69,87.66,88.28,92.23,95.39,100.64,110.55,115.36,0,0
Retained Earnings,114.42,103.01,92.66,86.16,81.61,77.52,77.3,74.57,79.66,77
Comprehensive Income,-40.54,0.29,5.44,-1.54,-4.73,-0.43,1.9,0.75,1.33,1.63
Shareholders' Equity,161.57,190.96,186.38,176.85,172.26,177.72,189.74,190.68,81,78.62
Total Liabilities and Equity,"2,045.36","1,921.56","1,654.35","1,307.34","1,258.76","1,087.68","1,010.1",936.8,795.29,784.51
Net Cash / Debt,-241.14,5.63,-45.94,-65.34,-111.32,-54.28,-59.06,-45.94,-87.21,-77.75
Book Value Per Share,16.24,19.05,18.21,16.48,15.21,14.71,14.64,14.55,6.18,-
