Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,81.45,72.45,82.67,53.25,59.44,45.56,93.84,55.96,32.93,0.6,Upgrade
Short-Term Investments,0.3,0.58,0.29,1.2,0,0,0.09,81.07,0,0,Upgrade
Cash & Cash Equivalents,81.75,73.03,82.96,54.44,59.44,45.56,93.93,137.03,32.93,0.6,Upgrade
Cash Growth,11.95%,-11.97%,52.37%,-8.41%,30.48%,-51.50%,-31.45%,316.07%,5389.00%,-,Upgrade
Receivables,29.91,14.39,19.15,13.99,12.26,20.21,16.01,9.93,10.75,0.96,Upgrade
Inventory,2.14,1.56,1.55,1.64,1.2,1.07,0,0,0,0,Upgrade
Other Current Assets,11.23,9.49,7.63,7.21,3.9,2.91,1.31,1.91,1.36,0.22,Upgrade
Total Current Assets,125.03,98.46,111.28,77.29,76.81,69.75,111.25,148.86,45.04,1.78,Upgrade
"Property, Plant & Equipment",65.64,110.54,119.19,147.89,47.95,21.15,12.04,6.55,4.19,0.55,Upgrade
Long-Term Investments,4.22,3.58,3.69,3.48,0.5,0.5,0.5,3.34,0,0,Upgrade
Goodwill and Intangibles,285.22,301.35,328.05,553.57,252.88,22.66,0,0,0,0,Upgrade
Other Long-Term Assets,2.26,0.87,3.23,0.28,0.87,0.75,6,8.24,0,0,Upgrade
Total Long-Term Assets,357.33,416.34,454.16,705.21,302.2,45.06,18.55,18.13,4.19,0.55,Upgrade
Total Assets,482.36,514.8,565.44,782.5,379.01,114.81,129.8,166.99,49.23,2.32,Upgrade
Accounts Payable,57.29,39.9,41.85,40.17,26.91,24.72,14.54,11.23,10.62,8.06,Upgrade
Deferred Revenue,7.8,10.91,21.36,13.28,13.54,13.9,4.52,0.63,0,0.02,Upgrade
Current Debt,10.52,11.42,9.88,7.33,2.6,1.75,0,0,0,0,Upgrade
Other Current Liabilities,45.56,52.51,37.59,10.78,-4.81,-4.05,5.38,6.04,3.51,-0.02,Upgrade
Total Current Liabilities,121.17,114.73,110.68,71.56,38.25,36.32,24.43,17.9,14.13,8.06,Upgrade
Long-Term Debt,111.72,119.63,127.37,103.03,15.18,9.96,0,0,0,0,Upgrade
Other Long-Term Liabilities,41.32,44.14,48.2,87.69,55.3,32.47,13.74,12.22,19.78,0.02,Upgrade
Total Long-Term Liabilities,153.04,163.77,175.58,190.73,70.48,42.42,13.74,12.22,19.78,0.02,Upgrade
Total Liabilities,274.21,278.49,286.26,262.29,108.73,78.74,38.17,30.12,33.91,8.08,Upgrade
Total Debt,122.24,131.04,137.25,110.36,17.77,11.71,0,0,0,0,Upgrade
Debt Growth,-6.72%,-4.52%,24.36%,520.99%,51.81%,-,-,-,-,-,Upgrade
Common Stock,296.77,293.8,293.16,285.7,280.18,249.72,237.82,234.71,228.02,162.36,Upgrade
Retained Earnings,-568.48,-535,-491.48,-244.08,-214.24,-219.4,-200.44,-202.55,-213.04,-168.12,Upgrade
Comprehensive Income,0.08,-1.21,-1.16,-0.22,-0.5,-0.14,0,0,0,0,Upgrade
Shareholders' Equity,-271.63,-242.4,-199.48,41.4,65.44,30.19,37.38,32.17,14.98,-5.76,Upgrade
Total Liabilities and Equity,2.58,36.09,86.78,303.68,174.17,108.93,75.55,62.28,48.89,2.32,Upgrade
Net Cash / Debt,-40.49,-58.02,-54.3,-55.92,41.67,33.85,93.93,137.03,32.93,0.6,Upgrade
Net Cash / Debt Growth,-,-,-,-,23.11%,-63.97%,-31.45%,316.07%,5389.00%,-,Upgrade
Net Cash Per Share,-13.89,-21.05,-23.77,-21.78,17.87,16.38,42.52,62.20,16.62,0.30,Upgrade
Working Capital,3.86,-16.27,0.6,5.73,38.56,33.43,86.82,130.97,30.91,-6.28,Upgrade
Book Value Per Share,-93.19,-87.95,-87.34,17.13,30.16,14.86,18.58,16.16,7.56,-2.91,Upgrade
