Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,2.15,1.4,0.52,0.14,0.05,0.3,0.1,0.46,0.01,0.01,Upgrade
Short-Term Investments,1.93,3.74,1,0.25,0,0.22,0,0.02,0.02,0.02,Upgrade
Cash & Cash Equivalents,4.07,5.14,1.52,0.4,0.05,0.52,0.1,0.48,0.03,0.03,Upgrade
Cash Growth,-20.77%,238.34%,283.78%,659.83%,-89.99%,435.71%,-79.69%,1722.13%,-17.97%,399.24%,Upgrade
Other Current Assets,0.12,0.32,0.03,0.02,0.01,0.07,-0,-0.33,0.04,0,Upgrade
Total Current Assets,4.2,5.47,1.55,0.42,0.06,0.59,0.1,0.15,0.07,0.03,Upgrade
"Property, Plant & Equipment",0.01,0.01,0,0,0,0,0,0.49,0.19,0,Upgrade
Long-Term Investments,5.71,8.63,0,0,0,0,0,2.25,0,0,Upgrade
Goodwill and Intangibles,0,0,0,0,0,0,0,0.01,0.01,0,Upgrade
Other Long-Term Assets,0,0,0,0,0,0,0,0.34,0,0,Upgrade
Total Long-Term Assets,5.72,8.64,0,0,0,0,0,3.08,0.21,0,Upgrade
Total Assets,9.92,14.1,1.55,0.42,0.06,0.59,0.1,3.23,0.27,0.04,Upgrade
Accounts Payable,0.08,0.14,0.03,0.03,0.01,0.08,0.77,0.4,0.26,0.01,Upgrade
Current Debt,0,0,0.13,0.16,0.2,0,3.33,1.83,0.01,0,Upgrade
Other Current Liabilities,0.51,1.86,0.35,0.42,0.1,0,41.25,3.79,0,0,Upgrade
Total Current Liabilities,0.59,2,0.51,0.61,0.32,0.08,45.35,6.02,0.27,0.01,Upgrade
Total Liabilities,0.59,2,0.51,0.61,0.32,0.08,45.35,6.02,0.27,0.01,Upgrade
Total Debt,0,0,0.13,0.16,0.2,0,3.33,1.83,0.01,0,Upgrade
Debt Growth,-,-,-17.46%,-20.07%,-,-,82.24%,22755.52%,-,-,Upgrade
Common Stock,160.81,147.69,120.58,116.8,115.09,115.03,23.8,22,14.75,0.01,Upgrade
Retained Earnings,-151.48,-135.59,-119.54,-116.98,-115.34,-114.52,-69.05,-24.79,-14.74,0.02,Upgrade
Shareholders' Equity,9.33,12.1,1.04,-0.18,-0.26,0.51,-45.25,-2.79,0.01,0.02,Upgrade
Total Liabilities and Equity,9.92,14.1,1.55,0.42,0.06,0.59,0.1,3.23,0.27,0.04,Upgrade
Net Cash / Debt,4.07,5.14,1.39,0.24,-0.15,0.52,-3.23,-1.35,0.02,0.03,Upgrade
Net Cash / Debt Growth,-20.77%,270.50%,487.70%,-,-,-,-,-,-42.93%,-,Upgrade
Net Cash Per Share,0.32,0.75,0.47,0.15,-0.12,1.26,-107.01,-145.57,2.42,-,Upgrade
Working Capital,3.61,3.47,1.04,-0.19,-0.26,0.51,-45.25,-5.87,-0.2,0.02,Upgrade
Book Value Per Share,0.73,1.77,0.35,-0.12,-0.21,1.25,-1498.71,-301.36,1.02,3.57,Upgrade
