Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Cash & Equivalents,"4,782.5","4,647.2","3,989.8","5,957.6","6,910.6","8,749.7","8,483.3","8,368.1","7,596","6,323.1",Upgrade
Cash & Cash Equivalents,"4,782.5","4,647.2","3,989.8","5,957.6","6,910.6","8,749.7","8,483.3","8,368.1","7,596","6,323.1",Upgrade
Cash Growth,2.91%,16.48%,-33.03%,-13.79%,-21.02%,3.14%,1.38%,10.16%,20.13%,4.49%,Upgrade
Receivables,"1,264.8","1,428.2","1,233.1",839,847.9,"1,001.9",794.3,838,950,"1,038.9",Upgrade
"Property, Plant & Equipment","1,207.8","1,218.4","1,348.6",683.7,535,517.2,523.2,510.1,530.7,564.1,Upgrade
Goodwill and Intangibles,"10,860.7","9,167.9","9,415","2,994.5","2,333.4","2,227.7","2,211.3","2,257","2,325.9","2,359.2",Upgrade
Total Assets,"28,060.6","24,168.4","21,684.5","14,532.2","14,383.5","17,534","16,098.8","16,335.7","16,357.1","15,390.3",Upgrade
Accounts Payable,"1,113.1","1,037.3","1,038.1",304.4,226.9,291.5,233.3,232.1,237.5,273.7,Upgrade
Total Liabilities,"14,235.9","11,424.8","10,273.5","3,161.3","3,132","2,656.3","3,509.5","3,780.3","3,909.9","4,583",Upgrade
Total Debt,"9,362.5","7,588.8","6,438.7",747.7,728.5,"1,097.6","2,083.4","2,155.3","2,149","2,295.1",Upgrade
Debt Growth,23.37%,17.86%,761.13%,2.64%,-33.63%,-47.32%,-3.34%,0.29%,-6.37%,-17.36%,Upgrade
Common Stock,50,50.2,49.5,49.9,51.9,55.5,57,60.4,62.3,63.1,Upgrade
Retained Earnings,"12,045.6","11,550.8","10,472.6","10,288.2","10,217.9","12,849.3","12,226.2","12,094.8","11,639.5","10,003.9",Upgrade
Comprehensive Income,-621,-377.6,-407.6,-431.6,-370.6,-284.8,-347.4,-314.2,-117.7,6.1,Upgrade
Shareholders' Equity,"11,474.6","11,223.4","10,114.5","9,906.5","9,899.2","12,620","11,935.8","11,841","11,584.1","10,073.1",Upgrade
Total Liabilities and Equity,"25,710.5","22,648.2","20,388","13,067.8","13,031.2","15,276.3","15,445.3","15,621.3","15,494","14,656.1",Upgrade
Net Cash / Debt,"-4,580","-2,941.6","-2,448.9","5,209.9","6,182.1","7,652.1","6,399.9","6,212.8","5,447","4,028",Upgrade
Net Cash / Debt Growth,-,-,-,-15.73%,-19.21%,19.57%,3.01%,14.06%,35.23%,23.02%,Upgrade
Book Value Per Share,23.02,22.32,20.42,19.67,18.78,22.63,20.72,19.29,18.53,15.86,Upgrade
