Year,2022,2021,2020,2019,2018,2017,2016,2015
Cash & Equivalents,16.28,120.79,414.59,20.23,14.75,28.58,15.43,15.6
Cash & Cash Equivalents,16.28,120.79,414.59,20.23,14.75,28.58,15.43,15.6
Cash Growth,-86.52%,-70.87%,1948.98%,37.23%,-48.40%,85.24%,-1.08%,-
"Property, Plant & Equipment",10.44,11.83,10.52,2.25,1.87,1.84,1.77,2.21
Total Assets,615.76,560.12,861.61,344.2,297.76,216.77,182.02,167.3
Total Liabilities,573.66,517.49,822.68,311.52,267.04,185.32,169.05,155.84
Total Debt,45.33,49.02,85.03,34.39,30.02,13.29,25.29,11.61
Debt Growth,-7.52%,-42.35%,147.25%,14.57%,125.93%,-47.46%,117.76%,-
Common Stock,18.34,17.99,17.95,18.45,18.09,18.01,0,0
Retained Earnings,27.02,24.79,20.74,14.16,13.28,13.55,12.98,11.95
Comprehensive Income,-3.27,-0.15,0.24,0.07,-0.65,-0.11,-0.01,-0.5
Shareholders' Equity,42.09,42.64,38.93,32.68,30.72,31.44,12.97,11.46
Total Liabilities and Equity,615.76,560.12,861.61,344.2,297.76,216.77,182.02,167.3
Net Cash / Debt,-29.05,71.77,329.56,-14.16,-15.27,15.29,-9.86,3.98
Net Cash / Debt Growth,-,-78.22%,-,-,-,-,-,-
Book Value Per Share,18.80,19.60,17.52,14.47,14.08,14.41,5.94,-
