Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2008
Cash & Equivalents,432.7,341.9,245.4,229.3,275.1,143.5,97.3,102.25,147.93,221.34,Upgrade
Short-Term Investments,91.7,37.1,92.4,71,35.7,47.3,0,0,0,0,Upgrade
Cash & Cash Equivalents,524.4,379,337.8,300.3,310.8,190.8,97.3,102.25,147.93,221.34,Upgrade
Cash Growth,38.36%,12.20%,12.49%,-3.38%,62.89%,96.09%,-4.84%,-30.88%,-33.17%,63.23%,Upgrade
Receivables,369.8,326.9,337.3,234.7,287.3,217.3,76.7,68.22,69.08,58.76,Upgrade
Other Current Assets,661.8,825.4,891.7,72.6,85.6,26.6,61.1,33.65,27.1,28.76,Upgrade
Total Current Assets,"1,556","1,531.3","1,566.8",607.6,683.7,434.7,235.1,204.12,244.11,308.86,Upgrade
"Property, Plant & Equipment",222.2,217.6,206.6,121.5,76.6,78.8,60.8,65.27,71.77,72.21,Upgrade
Long-Term Investments,253.2,245.8,42.7,61.2,86.2,82.7,72.9,48.43,12.35,14.58,Upgrade
Goodwill and Intangibles,"4,785.6","4,694","4,624.1","4,272","4,411.6","4,610",35.2,66.97,55.67,45.94,Upgrade
Other Long-Term Assets,181.9,125.8,76.3,51.6,62.9,59.5,72.7,0,0,0,Upgrade
Total Long-Term Assets,"5,442.9","5,283.2","4,949.7","4,506.3","4,637.3","4,831",241.6,180.67,139.79,132.73,Upgrade
Total Assets,"6,998.9","6,814.5","6,516.5","5,113.9","5,321","5,265.7",476.7,384.79,383.9,441.59,Upgrade
Accounts Payable,567.3,336.2,402.9,270.9,279.6,259.4,86.8,66.25,69.8,62.4,Upgrade
Deferred Revenue,11.7,15.2,10.2,4.5,8.5,15.4,3.1,4.02,1.99,1.1,Upgrade
Current Debt,304.7,0,68.7,0,299.8,0,0,0,0,0,Upgrade
Other Current Liabilities,593.5,817.9,831.5,6.2,8,59.2,0,3.73,1.88,43.96,Upgrade
Total Current Liabilities,"1,477.2","1,169.3","1,313.3",281.6,595.9,334,89.9,74,73.67,107.46,Upgrade
Long-Term Debt,"1,566.6","1,428.5","1,267.3",914.3,915.6,"1,237.9",0,0,0,0,Upgrade
Other Long-Term Liabilities,489.8,611.9,587,562.4,559.1,583.2,68.9,51.15,60.17,49.61,Upgrade
Total Long-Term Liabilities,"2,056.4","2,040.4","1,854.3","1,476.7","1,474.7","1,821.1",68.9,51.15,60.17,49.61,Upgrade
Total Liabilities,"3,533.6","3,209.7","3,167.6","1,758.3","2,070.6","2,155.1",158.8,125.14,133.83,157.07,Upgrade
Total Debt,"1,871.3","1,428.5","1,336",914.3,"1,215.4","1,237.9",0,0,0,0,Upgrade
Debt Growth,31.00%,6.92%,46.12%,-24.77%,-1.82%,-,-,-,-,-,Upgrade
Common Stock,"1,325.2","1,403.7","1,464.1","1,805.4","1,941.3","2,066.6",-392.1,-343.13,-221.25,-63.72,Upgrade
Retained Earnings,"2,171.1","2,145.5","1,809.8","1,512.6","1,288.2",993.3,710.8,603.6,472.01,349.29,Upgrade
Comprehensive Income,-31,55.6,75,37.6,11.5,50.7,-0.8,-0.82,-0.69,-1.05,Upgrade
Shareholders' Equity,"3,465.3","3,604.8","3,348.9","3,355.6","3,241","3,110.6",317.9,259.65,250.07,284.52,Upgrade
Total Liabilities and Equity,"6,998.9","6,814.5","6,516.5","5,113.9","5,311.6","5,265.7",476.7,384.79,383.9,441.59,Upgrade
Net Cash / Debt,"-1,346.9","-1,049.5",-998.2,-614,-904.6,"-1,047.1",97.3,102.25,147.93,221.34,Upgrade
Net Cash / Debt Growth,-,-,-,-,-,-,-4.84%,-30.88%,-33.17%,63.23%,Upgrade
Net Cash Per Share,-12.62,-9.79,-9.13,-5.49,-8.06,-9.74,1.20,1.23,1.73,2.53,Upgrade
Working Capital,78.8,362,253.5,326,87.8,100.7,145.2,130.12,170.44,201.4,Upgrade
Book Value Per Share,32.60,33.69,30.70,30.12,28.99,29.02,3.90,3.12,2.93,3.26,Upgrade
