Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,37.4,69.02,64.99,47.69,32.27,30.59,22,22.94,22.53,14.17,Upgrade
Cash & Cash Equivalents,37.4,69.02,64.99,47.69,32.27,30.59,22,22.94,22.53,14.17,Upgrade
Cash Growth,-45.81%,6.20%,36.27%,47.80%,5.48%,39.06%,-4.11%,1.82%,59.06%,-24.28%,Upgrade
"Property, Plant & Equipment",33.98,35.67,38.08,38.81,34.99,36.1,30.89,31.01,29.71,19.44,Upgrade
Goodwill and Intangibles,15.4,15.56,15.76,16.12,16.64,17.16,6.18,6.5,6.88,0.57,Upgrade
Total Assets,"1,672.95","1,584.51","1,395.38","1,170.28","1,091.6","1,050.73",914.79,862.73,812.36,633.31,Upgrade
Total Liabilities,"1,554.59","1,443.51","1,259.05","1,050.09",979.1,945.07,832.93,783.7,737.84,580.64,Upgrade
Total Debt,158.54,72.13,58.99,51.74,43.22,48.48,58.53,60.79,61.65,77.42,Upgrade
Debt Growth,119.80%,22.27%,14.02%,19.71%,-10.86%,-17.16%,-3.72%,-1.41%,-20.37%,14.35%,Upgrade
Common Stock,101.72,99.39,98.6,97.78,102.57,102.04,82.53,82.2,81.54,67.12,Upgrade
Retained Earnings,49.03,38.33,26.45,19.93,12.26,4.07,0.57,-3.99,-8.29,-11.92,Upgrade
Comprehensive Income,-32.39,3.28,11.29,2.49,-2.33,-0.44,-1.24,0.83,1.27,-2.53,Upgrade
Shareholders' Equity,118.36,141,136.34,120.19,112.5,105.66,81.86,79.04,74.53,52.67,Upgrade
Total Liabilities and Equity,"1,672.95","1,584.51","1,395.38","1,170.28","1,091.6","1,050.73",914.79,862.73,812.36,633.31,Upgrade
Net Cash / Debt,-121.14,-3.11,6,-4.05,-10.95,-17.89,-36.53,-37.84,-39.12,-63.26,Upgrade
Book Value Per Share,15.63,18.69,18.20,16.19,14.74,15.76,12.21,11.82,11.19,9.95,Upgrade
