Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2006
Cash & Equivalents,816.05,"4,222.1","2,211.41",630.6,681.9,477.59,784,352.24,297.46,258.42,Upgrade
Cash & Cash Equivalents,816.05,"4,222.1","2,211.41",630.6,681.9,477.59,784,352.24,297.46,258.42,Upgrade
Cash Growth,-80.67%,90.92%,250.68%,-7.52%,42.78%,-39.08%,122.58%,18.41%,15.11%,42.97%,Upgrade
"Property, Plant & Equipment",59.85,60.3,54.97,56.5,57.82,58.9,40.31,19.43,7.82,8.35,Upgrade
Goodwill and Intangibles,13.62,13.64,13.91,14.18,14.45,14.72,15,15.33,0,0,Upgrade
Total Assets,"14,595.75","15,448.81","11,932.65","8,947.65","8,007.38","7,082.38","6,370.45","5,095.51","4,098.68","3,520.7",Upgrade
Accounts Payable,0,13.62,12.32,11.93,10.38,4.97,4.4,2.37,0,0,Upgrade
Total Liabilities,"13,297.86","14,296.79","10,939.8","8,104.97","7,292.18","6,474.78","5,847.56","4,646.36","3,691.47","3,223.51",Upgrade
Total Debt,"1,683.52","1,776.48",916.29,535.45,353.39,366.63,411.21,408,284.29,194.32,Upgrade
Debt Growth,-5.23%,93.88%,71.13%,51.52%,-3.61%,-10.84%,0.79%,43.52%,46.30%,27.82%,Upgrade
Common Stock,229.75,226.45,223.91,219.82,218.57,217.75,215.99,211.57,225.38,163.29,Upgrade
Retained Earnings,"1,109.9",911.01,748.22,616.61,500.87,389.55,307.15,234.15,177.09,130.01,Upgrade
Comprehensive Income,-42.25,14.06,20.22,5.75,-4.74,-0.2,-0.62,3.05,4.49,3.89,Upgrade
Shareholders' Equity,"1,297.4","1,151.52",992.35,842.18,714.7,607.1,522.51,448.77,406.96,297.19,Upgrade
Total Liabilities and Equity,"14,595.25","15,448.31","11,932.15","8,947.15","8,006.88","7,081.88","6,370.07","5,095.13","4,098.43","3,520.7",Upgrade
Net Cash / Debt,-867.47,"2,445.61","1,295.12",95.15,328.5,110.96,372.79,-55.76,13.18,64.1,Upgrade
Net Cash / Debt Growth,-,88.83%,1261.16%,-71.04%,196.06%,-70.24%,-,-,-79.44%,123.23%,Upgrade
Book Value Per Share,23.88,21.24,18.41,15.71,13.41,11.46,9.93,8.66,8.21,7.00,Upgrade
