Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,25.28,25.99,47.88,33.25,34.68,28.97,42.26,32.19,30.85,34.22,Upgrade
Cash & Cash Equivalents,25.28,25.99,47.88,33.25,34.68,28.97,42.26,32.19,30.85,34.22,Upgrade
Cash Growth,-2.72%,-45.72%,44.01%,-4.12%,19.68%,-31.43%,31.28%,4.34%,-9.85%,44.45%,Upgrade
Receivables,0.35,0.35,3.76,0.56,1.13,1.01,0.61,0.74,0.78,0.4,Upgrade
Total Assets,41.66,39.72,58.82,75.09,70.94,61.2,73.15,52.53,52.04,48.35,Upgrade
Accounts Payable,0.11,0.06,0.06,0.11,0.47,0.2,0.41,0.22,0.84,0.13,Upgrade
Total Liabilities,6.43,3.35,25.05,29.1,27.45,18.2,30.41,15.22,15.84,15.13,Upgrade
Total Debt,6,2.5,24,28.99,26.98,18,29.99,15,15,15,Upgrade
Debt Growth,139.92%,-89.58%,-17.22%,7.45%,49.91%,-39.99%,99.96%,0.01%,-0.01%,-,Upgrade
Common Stock,74.7,74.7,56.16,56.08,55.75,55.32,54.23,54.24,56.06,51.71,Upgrade
Retained Earnings,-39.46,-38.33,-22.38,-10.09,-12.26,-11.27,-9.5,-14.39,-19.86,-18.49,Upgrade
Comprehensive Income,0,0,0,0,0,-1.04,-1.99,-2.54,0,0,Upgrade
Shareholders' Equity,35.24,36.37,33.78,45.99,43.5,43.01,42.74,37.31,36.2,33.22,Upgrade
Total Liabilities and Equity,41.66,39.72,58.82,75.09,70.94,61.2,73.15,52.53,52.04,48.35,Upgrade
Net Cash / Debt,19.28,23.49,23.88,4.26,7.7,10.98,12.26,17.19,15.85,19.22,Upgrade
Net Cash / Debt Growth,-17.91%,-1.63%,461.07%,-44.69%,-29.89%,-10.49%,-28.66%,8.45%,-17.53%,-18.88%,Upgrade
Net Cash Per Share,1.43,1.74,1.77,0.31,0.57,0.82,0.97,1.36,1.33,1.82,Upgrade
Book Value Per Share,2.61,2.69,2.50,3.40,3.22,3.22,3.37,2.94,3.04,3.15,Upgrade
