Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,"1,294.64",824.71,653.77,247.67,277.59,342.53,224.24,175.3,188.17,179.56,Upgrade
Cash & Cash Equivalents,"1,294.64",824.71,653.77,247.67,277.59,342.53,224.24,175.3,188.17,179.56,Upgrade
Cash Growth,56.98%,26.15%,163.96%,-10.78%,-18.96%,52.75%,27.92%,-6.84%,4.79%,-65.06%,Upgrade
"Property, Plant & Equipment",254.61,172.14,162.06,165.41,168.79,169.49,150.34,164.24,172.09,154.73,Upgrade
Goodwill and Intangibles,4.75,857.82,792.58,801.3,811.78,824.02,400.39,406.34,413,369.8,Upgrade
Total Assets,"31,848.64","20,945.33","16,584.78","14,079.52","13,095.15","12,716.89","9,509.61","8,951.7","8,578.85","7,161.58",Upgrade
Total Liabilities,"29,368.81","18,356.59","14,237.17","11,919.56","11,061.5","10,766.96","8,258.6","7,709.57","7,350.67","6,108.33",Upgrade
Total Debt,"1,718.09",113.68,116.37,"1,053.18",496.08,134.53,87.32,168.23,329.9,61.61,Upgrade
Debt Growth,1411.31%,-2.31%,-88.95%,112.30%,268.74%,54.08%,-48.10%,-49.01%,435.49%,94.68%,Upgrade
Common Stock,"3,450.49","1,859.35","1,590.16","1,599.92","1,642.25","1,634.71",998.05,992.5,988.06,862.78,Upgrade
Retained Earnings,-543.8,694.23,575.25,519.68,426.71,337.44,271.96,255.93,234.5,202.51,Upgrade
Comprehensive Income,-426.86,35.16,182.2,40.37,-35.31,-22.23,-19,-6.3,5.62,-12.04,Upgrade
Shareholders' Equity,"2,479.83","2,588.74","2,347.61","2,159.96","2,033.65","1,949.92","1,251.01","1,242.13","1,228.18","1,053.25",Upgrade
Total Liabilities and Equity,"31,848.64","20,945.33","16,584.78","14,079.52","13,095.15","12,716.89","9,509.61","8,951.7","8,578.85","7,161.58",Upgrade
Net Cash / Debt,-423.45,711.03,537.4,-805.51,-218.49,208,136.92,7.07,-141.73,117.96,Upgrade
Net Cash / Debt Growth,-,32.31%,-,-,-,51.91%,1836.13%,-,-,-75.54%,Upgrade
Net Cash Per Share,-5.42,9.76,7.58,-11.18,-3.02,3.47,2.39,0.12,-2.66,2.40,Upgrade
Book Value Per Share,31.77,35.62,33.14,30.00,28.09,32.56,21.88,21.78,23.34,21.95,Upgrade
