Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,248.37,485.92,432.68,330.61,192.07,150.08,185.77,179.07,200.56,194.29,Upgrade
Cash & Cash Equivalents,248.37,485.92,432.68,330.61,192.07,150.08,185.77,179.07,200.56,194.29,Upgrade
Cash Growth,-48.89%,12.30%,30.87%,72.13%,27.98%,-19.21%,3.74%,-10.72%,3.23%,-6.83%,Upgrade
Receivables,117.72,119.34,87.81,72,71.46,78.52,71.78,81.67,98.67,104.67,Upgrade
"Property, Plant & Equipment",282.73,283.89,231.01,222.12,135.53,141.26,145.82,147.11,152.13,131.09,Upgrade
Goodwill and Intangibles,"1,272.07","1,154.64",468.86,253.51,258.62,241.16,227.98,235.8,278.18,244.89,Upgrade
Total Assets,"2,737.88","2,813.36","1,978.58","1,592.79","1,372.93","1,405.89","1,341.72","1,321.59","1,392.48","1,326.06",Upgrade
Accounts Payable,196.54,287.33,225.18,126.78,109.28,117.74,115.64,118.08,111.97,119.96,Upgrade
Total Liabilities,"1,367.61","1,518.63",966.17,839.03,693.09,727.08,692.88,684.46,692.03,662.97,Upgrade
Total Debt,595.01,632.91,220.86,224.48,108.04,109.31,106.81,102.4,71.18,32.95,Upgrade
Debt Growth,-5.99%,186.56%,-1.61%,107.78%,-1.17%,2.34%,4.31%,43.86%,116.05%,-53.71%,Upgrade
Common Stock,321.68,306.96,299.27,185.61,184.05,181.36,178.29,177.72,200.9,192.1,Upgrade
Retained Earnings,"1,091.82",974.8,688.82,564.39,514.25,491.7,471.79,455.52,479.73,452.31,Upgrade
Comprehensive Income,-51.34,0.25,17.02,-2.7,-24.77,-0.85,-8.88,-3.96,12.56,10.88,Upgrade
Shareholders' Equity,"1,362.15","1,282.01","1,005.11",747.31,673.53,672.21,641.2,629.28,693.19,655.3,Upgrade
Total Liabilities and Equity,"2,729.77","2,800.64","1,971.28","1,586.33","1,366.62","1,399.29","1,334.08","1,313.74","1,385.21","1,318.27",Upgrade
Net Cash / Debt,-346.64,-146.99,211.82,106.13,84.03,40.77,78.96,76.67,129.38,161.34,Upgrade
Net Cash / Debt Growth,-,-,99.58%,26.30%,106.13%,-48.37%,2.99%,-40.74%,-19.81%,17.45%,Upgrade
Net Cash Per Share,-12.68,-5.41,8.50,4.47,3.55,1.73,3.36,3.26,5.24,6.52,Upgrade
Book Value Per Share,50.35,47.80,40.54,31.65,28.61,28.67,27.44,26.73,30.43,29.66,Upgrade
