Year,2022,2021,2020,2019,2018,2017,2016
Cash & Equivalents,5.76,4.7,14.89,45.8,2.53,8.14,1.04
Cash & Cash Equivalents,5.76,4.7,14.89,45.8,2.53,8.14,1.04
Cash Growth,22.65%,-68.45%,-67.50%,1712.07%,-68.96%,682.90%,-
Receivables,0,0,0.36,0.4,0.04,0.03,0.06
Total Assets,"1,141.77",738.35,639.89,516.29,308.22,149.32,4.19
Accounts Payable,8.81,6.01,0.14,0.08,0.2,22.01,0.65
Deferred Revenue,0,0,0,0,0.1,0,0
Total Liabilities,565.71,132.15,173.65,139.98,140.98,22.28,0.71
Total Debt,548.96,124.26,167.07,134.61,138.93,0,0
Debt Growth,341.77%,-25.62%,24.11%,-3.11%,-,-,-
Common Stock,595.37,606.46,467.19,384.63,162.68,127.01,3.81
Retained Earnings,-19.32,-0.27,-0.94,-8.31,4.69,0.03,-0.33
Shareholders' Equity,576.05,606.2,466.24,376.31,167.37,127.04,3.48
Total Liabilities and Equity,"1,141.77",738.35,639.89,516.29,308.35,149.32,4.19
Net Cash / Debt,-543.2,-119.57,-152.18,-88.82,-136.4,8.14,1.04
Net Cash / Debt Growth,-,-,-,-,-,682.90%,-
Net Cash Per Share,-13.26,-3.50,-5.51,-4.75,-14.67,2.91,96.52
Book Value Per Share,14.06,17.73,16.88,20.12,18.00,45.45,322.69
