Year,2022,2021,2020,2019
Cash & Equivalents,30.89,125.6,5.95,2.16
Short-Term Investments,6.71,152.86,0,0
Cash & Cash Equivalents,37.59,278.45,5.95,2.16
Cash Growth,-86.50%,4582.21%,175.45%,-
Receivables,0.7,1.04,1.1,1.11
Inventory,0,0,0,0.14
Other Current Assets,30.8,7.64,2.12,3.15
Total Current Assets,69.09,287.13,9.17,6.55
"Property, Plant & Equipment",235.79,146.25,41.19,44.01
Goodwill and Intangibles,0.03,18.64,0.38,0.68
Other Long-Term Assets,38.19,90.58,0.97,1.62
Total Long-Term Assets,274.01,255.46,42.54,46.31
Total Assets,343.1,542.59,51.7,52.86
Accounts Payable,20.54,14.48,2.7,2.39
Current Debt,46.7,74.61,20.8,1.62
Other Current Liabilities,0,12.09,4.98,0
Total Current Liabilities,67.24,101.18,28.48,4.01
Long-Term Debt,18.31,10.14,7.57,20.57
Other Long-Term Liabilities,1.98,8.69,0.21,0.19
Total Long-Term Liabilities,20.29,18.83,7.78,20.76
Total Liabilities,87.53,120.01,36.26,24.77
Total Debt,65.01,84.74,28.37,22.19
Debt Growth,-23.28%,198.72%,27.86%,-
Common Stock,494.63,422.6,37.59,33.94
Retained Earnings,-239.07,-0.02,-22.15,-5.86
Shareholders' Equity,255.57,422.58,15.45,28.09
Total Liabilities and Equity,343.1,542.59,51.7,52.86
Net Cash / Debt,-27.42,193.71,-22.42,-20.03
Net Cash Per Share,-0.13,1.14,-0.26,-0.28
Working Capital,1.84,185.95,-19.31,2.54
Book Value Per Share,1.23,2.68,0.18,0.42
