Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2009
Cash & Equivalents,9.73,30.65,34.58,36.69,9.91,20.75,27.68,26.19,11.89,37.94,Upgrade
Cash & Cash Equivalents,9.73,30.65,34.58,36.69,9.91,20.75,27.68,26.19,11.89,37.94,Upgrade
Cash Growth,-68.24%,-11.37%,-5.75%,270.23%,-52.23%,-25.04%,5.67%,120.29%,-68.66%,-20.31%,Upgrade
"Property, Plant & Equipment",8.58,8.97,9.53,8.95,7.89,7.44,8.17,9.15,3.74,4.09,Upgrade
Goodwill and Intangibles,2.67,2.73,2.8,2.9,3.01,3.16,3.34,3.47,0,0,Upgrade
Total Assets,544.79,543.72,515.58,527.83,487.96,481.32,485.64,475.34,360.5,370.1,Upgrade
Total Liabilities,469.54,455.62,427.28,439.53,403.09,395.36,400.24,394.55,283.52,293.93,Upgrade
Total Debt,9,15,5,19,14.5,0,0,0,0,0,Upgrade
Debt Growth,-40.00%,200.00%,-73.68%,31.03%,-,-,-,-,-,-,Upgrade
Common Stock,6.06,6.24,6.99,10.44,11.26,10.99,11.68,11.87,10.42,11.41,Upgrade
Retained Earnings,82.79,80.92,79.07,77.46,76.14,75.17,71.91,68.95,66.71,65.32,Upgrade
Comprehensive Income,-13.59,0.94,2.24,0.39,-2.53,-0.2,1.81,-0.03,-0.15,-0.56,Upgrade
Shareholders' Equity,75.26,88.1,88.31,88.3,84.87,85.96,85.4,80.79,76.98,76.16,Upgrade
Total Liabilities and Equity,544.79,543.72,515.58,527.83,487.96,481.32,485.64,475.34,360.5,370.1,Upgrade
Net Cash / Debt,0.73,15.65,29.58,17.69,-4.59,20.75,27.68,26.19,11.89,37.94,Upgrade
Net Cash / Debt Growth,-95.32%,-47.10%,67.22%,-,-,-25.04%,5.67%,120.29%,-68.66%,-20.31%,Upgrade
Book Value Per Share,13.42,15.74,15.56,15.36,14.70,14.89,14.54,13.73,13.19,12.67,Upgrade
