Year,2022,2021,2020,2019
Cash & Equivalents,15.22,82.6,5.05,11.75
Short-Term Investments,0.35,0.97,0.25,0.27
Cash & Cash Equivalents,15.57,83.57,5.31,12.02
Cash Growth,-81.38%,1475.03%,-55.85%,-
Receivables,2.7,0.24,0.39,0.01
Other Current Assets,14.8,16.79,2.08,7.16
Total Current Assets,33.06,100.6,7.77,19.19
"Property, Plant & Equipment",130.42,216.01,56.65,37.06
Other Long-Term Assets,0.29,24.65,0.15,0.6
Total Long-Term Assets,130.71,240.67,56.79,37.66
Total Assets,163.77,341.27,64.57,56.84
Accounts Payable,9.61,5.75,1.75,2.36
Current Debt,67.16,19.58,6.85,5
Other Current Liabilities,21.95,16.4,3.05,0.65
Total Current Liabilities,98.72,41.73,11.64,8.01
Long-Term Debt,84.59,75.25,1.36,7.7
Other Long-Term Liabilities,27.51,11.87,7.2,7.41
Total Long-Term Liabilities,112.09,87.12,8.57,15.11
Total Liabilities,210.81,128.84,20.21,23.12
Total Debt,151.75,94.83,8.21,12.7
Debt Growth,60.02%,1055.03%,-35.35%,-
Common Stock,293.77,281.82,69.28,54.07
Retained Earnings,-340.46,-69.4,-24.92,-20.35
Comprehensive Income,-0.36,0,0,0
Shareholders' Equity,-47.05,212.42,44.36,33.72
Total Liabilities and Equity,163.77,341.27,64.57,56.84
Net Cash / Debt,-136.18,-11.26,-2.9,-0.68
Net Cash Per Share,-32.14,-3.07,-,-
Working Capital,-65.66,58.88,-3.87,11.18
Book Value Per Share,-11.10,66.39,11.56,-
