Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,154.72,595.29,802.86,182.06,249.53,154.93,129.1,83.62,68.71,146.98,Upgrade
Cash & Cash Equivalents,154.72,595.29,802.86,182.06,249.53,154.93,129.1,83.62,68.71,146.98,Upgrade
Cash Growth,-74.01%,-25.85%,340.99%,-27.04%,61.05%,20.01%,54.39%,21.70%,-53.25%,79.23%,Upgrade
"Property, Plant & Equipment",108.96,94.57,59.94,56.47,48.17,47.15,45.86,29.61,31.92,29.85,Upgrade
Goodwill and Intangibles,402.44,339.49,175.35,165.97,124.31,128.41,87.94,3.79,0,0,Upgrade
Total Assets,"8,763.97","7,695.04","4,551.79","3,577.26","3,096.54","2,932.43","2,300.88","1,214.44","1,215.29","1,198.8",Upgrade
Total Liabilities,"7,791.44","6,803.15","4,012.6","3,060.27","2,709.18","2,567.55","2,024.51","1,104.75","1,104.22","1,093.92",Upgrade
Total Debt,542.34,216.92,53.87,67.63,77.31,78.05,37.62,39.79,33.5,51.67,Upgrade
Debt Growth,150.03%,302.67%,-20.35%,-12.52%,-0.95%,107.48%,-5.46%,18.76%,-35.15%,13.86%,Upgrade
Common Stock,622.14,575.19,273.49,312.84,247.89,263.93,209.79,57.46,70.13,74.06,Upgrade
Retained Earnings,407.86,313.6,252.95,199.01,144.36,102.39,68.89,51.06,39.84,30.14,Upgrade
Comprehensive Income,-57.47,3.1,12.75,4.42,-5.64,-2.15,-2.73,0.98,1.03,0.67,Upgrade
Shareholders' Equity,972.53,891.89,539.19,516.26,386.61,364.18,275.95,109.5,111.01,104.86,Upgrade
Total Liabilities and Equity,"8,763.97","7,695.04","4,551.79","3,576.53","3,095.79","2,931.73","2,300.46","1,214.25","1,215.23","1,198.79",Upgrade
Net Cash / Debt,-387.62,378.38,748.99,114.43,172.22,76.89,91.49,43.83,35.21,95.31,Upgrade
Net Cash / Debt Growth,-,-49.48%,554.54%,-33.56%,123.99%,-15.96%,108.72%,24.50%,-63.06%,160.22%,Upgrade
Net Cash Per Share,-26.96,33.95,71.05,11.56,17.30,7.72,12.18,10.05,8.17,23.90,Upgrade
Book Value Per Share,69.92,83.08,52.16,53.99,40.10,38.58,38.55,27.35,26.65,26.37,Upgrade
