Year,2022,2021,2020,2019
Cash & Equivalents,51.29,73.08,61.77,0.93
Short-Term Investments,0.52,0.12,6.24,0
Cash & Cash Equivalents,51.81,73.21,68.01,0.93
Cash Growth,-29.22%,7.64%,7217.93%,-
Receivables,3.09,3.01,2.88,0
Other Current Assets,0.85,7.57,0.27,0.03
Total Current Assets,55.76,83.78,71.16,0.96
"Property, Plant & Equipment",7.36,1.65,1.7,0
Long-Term Investments,38.11,37.08,104.08,46.6
Total Long-Term Assets,45.47,38.73,105.79,46.6
Total Assets,101.22,122.51,176.94,47.56
Accounts Payable,20.27,3.85,3.45,0.54
Current Debt,4.48,0,0.07,0
Other Current Liabilities,72.27,57.51,53.28,0.01
Total Current Liabilities,97.02,61.36,56.8,0.55
Long-Term Debt,0,0,125.51,0
Other Long-Term Liabilities,0.05,0,0,2.36
Total Long-Term Liabilities,0.05,0,125.51,2.36
Total Liabilities,97.07,61.36,182.3,2.91
Total Debt,4.48,0,125.58,0
Common Stock,43.93,9.2,38.76,0
Retained Earnings,-39.4,52.13,-44.34,-1.46
Comprehensive Income,-0.38,-0.18,0.21,0.1
Shareholders' Equity,4.15,61.15,-5.36,-1.36
Total Liabilities and Equity,101.22,122.51,176.94,1.56
Net Cash / Debt,47.33,73.21,-57.57,0.93
Net Cash / Debt Growth,-35.34%,-,-,-
Net Cash Per Share,0.84,1.32,-9.64,0.23
Working Capital,-41.26,22.41,14.36,0.4
Book Value Per Share,0.07,1.10,-0.90,-0.34
