Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Cash & Equivalents,12.77,78.35,41.62,18.91,27.17,33.35,40.58,205.11,130.06,145.88
Short-Term Investments,-,0,47.36,20.05,14.77,19.89,17.93,-,-,-
Cash & Cash Equivalents,12.77,78.35,88.98,38.95,41.94,53.24,58.52,205.11,130.06,145.88
Cash Growth,-83.70%,-11.95%,128.43%,-7.12%,-21.23%,-9.02%,-71.47%,57.70%,-10.84%,-
Receivables,0,0,3.41,5.01,3.97,4.15,5.27,46.03,28.56,10.69
Other Current Assets,-,1.84,4.22,3.19,1.55,1.02,1.96,-,-,-
Total Current Assets,-,80.19,96.61,47.15,47.46,58.41,65.75,-,-,-
"Property, Plant & Equipment",0,0,0.66,0.73,0,0,0,735.87,532.38,35.9
Other Long-Term Assets,-,1.29,2.48,5.37,1.91,1.97,0,-,-,-
Total Long-Term Assets,-,1.29,3.14,6.1,1.91,1.97,0,-,-,-
Total Assets,117.65,81.48,99.75,53.25,49.37,60.39,65.75,"2,518.6","2,760.7","1,405.1"
Accounts Payable,0,0,9.15,1.17,1.19,2.09,4.59,34.72,22.9,9.76
Current Debt,-,0.14,0.08,0.07,0,0,0,-,-,-
Other Current Liabilities,-,4.45,3.88,5.76,5.58,5.65,4.1,-,-,-
Total Current Liabilities,-,4.59,13.1,7,6.77,7.74,8.69,-,-,-
Long-Term Debt,-,0.72,0.6,0.68,0,0,0,-,-,-
Other Long-Term Liabilities,-,2.7,2.63,3.54,0,0,0,-,-,-
Total Long-Term Liabilities,-,3.42,3.23,4.22,0,0,0,-,-,-
Total Liabilities,63.33,8,16.33,11.22,6.77,7.74,8.69,"1,304.69","1,361.98",612.14
Total Debt,52.98,0.86,0.68,0.75,0,0,0,"1,265.97","1,339.08",602.38
Debt Growth,6067.17%,27.26%,-9.52%,-,-,-,-,-5.46%,122.30%,-
Common Stock,-131.43,-134.03,-229.94,-231.56,-233.71,-234.54,-235.76,-231.54,-231.29,12.88
Retained Earnings,41.52,57.45,63.43,23.66,26.56,38.97,46.15,50.68,54.17,-5.34
Comprehensive Income,0.02,0.05,-0.07,-0.03,0,-1.33,-2.66,0,0,0
Shareholders' Equity,-89.89,-76.53,-166.58,-207.93,-207.16,-196.9,-192.28,-180.86,-177.12,7.54
Total Liabilities and Equity,-26.57,-68.52,-150.25,-196.71,-200.39,-189.16,-183.59,"1,123.83","1,184.86",619.68
Net Cash / Debt,-40.2,77.49,88.3,38.21,41.94,53.24,58.52,"-1,060.86","-1,209.02",-456.5
Net Cash / Debt Growth,-,-12.25%,131.12%,-8.90%,-21.23%,-9.02%,-,-,-,-
Net Cash Per Share,-20.97,35.84,54.13,24.03,26.02,33.90,33.39,-481.59,-426.88,-194.51
Working Capital,-,75.6,83.51,40.15,40.69,50.68,57.06,-,-,-
Book Value Per Share,-46.88,-38.22,-102.11,-130.78,-128.56,-125.38,-109.73,-82.10,-78.30,3.21
