Year,2022,2021,2020,2019,2018,2017
Cash & Equivalents,13.93,16.09,9.83,6.5,7.54,6.75
Short-Term Investments,5.07,1.83,1.82,3.76,3.2,3.58
Cash & Cash Equivalents,18.99,17.92,11.65,10.25,10.74,10.32
Cash Growth,6.02%,53.83%,13.60%,-4.56%,4.04%,-
Receivables,3.19,3.11,3.33,1.98,2.53,2.63
Inventory,2.2,1.95,1.17,1.01,0.93,0.44
Other Current Assets,0.85,1.13,1.45,2.29,2.5,1.63
Total Current Assets,25.24,24.11,17.6,15.52,16.7,15.03
"Property, Plant & Equipment",2.75,2.63,1.93,0.76,1.08,1.16
Goodwill and Intangibles,5.02,3.39,3.46,3.58,3.91,1.4
Other Long-Term Assets,2.31,1.38,1.3,1.4,1.41,2
Total Long-Term Assets,10.07,7.4,6.69,5.73,6.4,4.56
Total Assets,35.31,31.51,24.29,21.25,23.1,19.6
Accounts Payable,2.81,3.86,2.84,2.87,3.25,2.84
Current Debt,0.69,1.13,0.34,0.03,0.05,0.02
Other Current Liabilities,1.31,0.07,0.42,0.33,1.87,0.59
Total Current Liabilities,4.81,5.06,3.61,3.22,5.17,3.45
Long-Term Debt,1.2,0.99,1.41,0.66,0.75,0.67
Other Long-Term Liabilities,0.26,0.17,0.13,0.18,0.21,0.26
Total Long-Term Liabilities,1.46,1.16,1.54,0.84,0.96,0.93
Total Liabilities,6.27,6.22,5.14,4.06,6.13,4.38
Total Debt,1.9,2.12,1.75,0.69,0.8,0.69
Debt Growth,-10.45%,21.30%,152.90%,-13.62%,15.31%,-
Common Stock,12.35,9.37,9.37,9.22,9.22,7.2
Retained Earnings,16.92,15.78,9.93,8.15,7.61,5.88
Comprehensive Income,-0.23,0.14,-0.14,-0.18,0.15,0.12
Shareholders' Equity,29.04,25.29,19.15,17.19,16.98,13.2
Total Liabilities and Equity,35.31,31.51,24.29,21.25,23.1,17.58
Net Cash / Debt,17.1,15.8,9.9,9.56,9.94,9.63
Net Cash / Debt Growth,8.23%,59.57%,3.54%,-3.83%,3.23%,-
Net Cash Per Share,0.44,0.41,0.26,0.25,0.26,0.25
Working Capital,20.43,19.04,13.99,12.3,11.53,11.58
Book Value Per Share,0.74,0.66,0.50,0.53,0.57,0.45
