Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Cash & Equivalents,64.69,208.38,60.54,82.66,56.92,45.87,34.12,35.52,18.96,19.48,Upgrade
Cash & Cash Equivalents,64.69,208.38,60.54,82.66,56.92,45.87,34.12,35.52,18.96,19.48,Upgrade
Cash Growth,-68.96%,244.19%,-26.76%,45.24%,24.08%,34.45%,-3.95%,87.35%,-2.66%,-30.16%,Upgrade
"Property, Plant & Equipment",6.1,6.58,7.15,7.66,6.38,5.58,3.93,2.99,3.05,2.98,Upgrade
Total Assets,"1,091.5","1,157.05",975.44,913.87,877.29,833.32,710.57,621.21,557.32,539,Upgrade
Total Liabilities,978.85,"1,055.68",886.43,831.89,801.14,763.25,645.24,559.27,490.31,471.44,Upgrade
Total Debt,90,90,105,65,75,56.84,29,10.5,10,31.44,Upgrade
Debt Growth,-,-14.29%,61.54%,-13.33%,31.94%,96.01%,176.19%,5.00%,-68.20%,-24.87%,Upgrade
Common Stock,45.69,44.43,42.91,42.59,42.96,42.6,41.58,42.36,48.97,55.77,Upgrade
Retained Earnings,67.73,56.85,46.06,39.47,33.33,27.44,23.79,19.66,18.01,12.07,Upgrade
Comprehensive Income,-0.77,0.09,0.04,-0.08,-0.14,0.03,-0.03,-0.07,0.03,-0.27,Upgrade
Shareholders' Equity,112.65,101.38,89.01,81.98,76.15,70.07,65.34,61.94,67.01,67.56,Upgrade
Total Liabilities and Equity,"1,091.5","1,157.05",975.44,913.87,877.29,833.32,710.57,621.21,557.32,539,Upgrade
Net Cash / Debt,-25.31,118.38,-44.46,17.66,-18.09,-10.97,5.12,25.02,8.96,-11.96,Upgrade
Net Cash / Debt Growth,-,-,-,-,-,-,-79.55%,179.26%,-,-,Upgrade
Net Cash Per Share,-2.85,13.57,-5.20,2.06,-2.14,-1.28,0.61,2.95,1.05,-1.43,Upgrade
Book Value Per Share,12.92,11.83,10.51,9.68,9.19,8.60,8.05,7.55,8.23,9.63,Upgrade
