Year,2022,2021,2020,2019,2018,2017,2016
Cash & Equivalents,32.72,813.16,18.97,16.56,16.32,13.79,86.98
Cash & Cash Equivalents,32.72,813.16,18.97,16.56,16.32,13.79,86.98
Cash Growth,-95.98%,4187.69%,14.56%,1.47%,18.34%,-84.15%,-
"Property, Plant & Equipment",23.23,23.32,24.23,21.6,13.17,13.12,13.1
Total Assets,"3,144.47","2,635.52","1,766.12","1,128.53",952.11,805.75,740.61
Total Liabilities,"2,900.97","2,434.3","1,625.91","1,004.35",842.95,740.04,680.71
Total Debt,52.82,59.19,199.62,32.24,33.55,33.53,28.51
Debt Growth,-10.76%,-70.35%,519.13%,-3.89%,0.05%,17.59%,-
Common Stock,125.83,121.85,87.82,86.98,86.43,52.52,52.22
Retained Earnings,120,79.37,52.37,37.22,24.02,14.13,8.7
Comprehensive Income,-2.33,0,0.03,-0.03,-1.3,-0.94,-1.02
Shareholders' Equity,243.49,201.22,140.22,124.17,109.16,65.71,59.9
Total Liabilities and Equity,"3,144.47","2,635.52","1,766.12","1,128.53",952.11,805.75,740.61
Net Cash / Debt,-20.1,753.97,-180.65,-15.69,-17.23,-19.74,58.46
Net Cash Per Share,-1.49,60.21,-14.80,-1.29,-1.62,-2.14,6.34
Book Value Per Share,18.80,16.74,11.76,10.44,10.46,7.12,6.50
