Year,2022,2021,2020,2019,2018
Cash & Equivalents,14.4,15.75,4.79,8.58,7.11
Short-Term Investments,18.23,15.9,2.26,2.01,-
Cash & Cash Equivalents,32.63,31.65,7.05,10.59,7.11
Cash Growth,3.10%,348.89%,-33.44%,49.02%,-
Receivables,33.88,88.01,8.81,1.94,6.57
Other Current Assets,2.53,8.74,0.75,0.51,-
Total Current Assets,69.04,128.4,16.61,13.04,-
"Property, Plant & Equipment",14.95,17.51,0.03,0.07,0.11
Long-Term Investments,1.44,1.55,0,0,-
Goodwill and Intangibles,0,0,0,0.07,0.06
Other Long-Term Assets,1.21,1.46,6.26,0.23,-
Total Long-Term Assets,17.59,20.52,6.29,0.38,-
Total Assets,86.63,148.92,22.91,13.42,15.67
Accounts Payable,48.94,89.22,9.22,3.88,9.88
Current Debt,0.71,0.11,0.29,1.54,-
Other Current Liabilities,4.22,2.18,1.81,0.8,-
Total Current Liabilities,53.87,91.51,11.32,6.23,-
Long-Term Debt,4.68,0,0.82,0,-
Other Long-Term Liabilities,0.68,1.94,1.47,0,-
Total Long-Term Liabilities,5.36,1.94,2.29,0,-
Total Liabilities,59.22,93.45,13.6,6.23,9.9
Total Debt,5.39,0.11,1.11,1.54,0
Debt Growth,4801.79%,-90.09%,-27.97%,-,-
Common Stock,63.67,57.99,12.27,7.61,9.48
Retained Earnings,-34.49,-2.93,-2.95,-0.38,-3.6
Comprehensive Income,-0.3,-0.06,-0.02,-0.04,-0.11
Shareholders' Equity,28.87,55,9.3,7.19,5.77
Total Liabilities and Equity,88.09,148.45,22.91,13.42,15.67
Net Cash / Debt,27.24,31.54,5.94,9.05,7.11
Net Cash / Debt Growth,-13.64%,430.90%,-34.36%,27.34%,-
Net Cash Per Share,0.59,1.05,0.59,1.28,1.00
Working Capital,15.18,36.89,5.3,6.82,-
Book Value Per Share,0.63,1.83,0.92,1.01,0.81
