Year,2022,2021,2020,2019,2018,2017,2016
Cash & Equivalents,109.12,204.85,153.9,117.13,128.09,100.05,74.24
Cash & Cash Equivalents,109.12,204.85,153.9,117.13,128.09,100.05,74.24
Cash Growth,-46.73%,33.11%,31.40%,-8.56%,28.02%,34.76%,-
"Property, Plant & Equipment",13.11,17.26,9.15,9.62,7.75,9.6,6.51
Goodwill and Intangibles,9.94,10.12,1.58,1.79,2,2.2,2.41
Total Assets,"1,584.17","1,350.55","1,016.67",866.39,770.51,703.59,613.77
Total Liabilities,"1,440.07","1,223.14",909.35,766.27,682.05,634.42,558.63
Total Debt,0,0,0,0,0,5.6,6.4
Debt Growth,-,-,-,-,-,-12.50%,-
Common Stock,95.35,94.12,93.25,92.49,80.38,7.06,7.06
Retained Earnings,58.05,33.15,14.07,7.63,8.09,62.12,48.08
Comprehensive Income,-9.3,0.14,0,0,0,0,0
Shareholders' Equity,144.1,127.41,107.32,100.13,88.47,69.18,55.14
Total Liabilities and Equity,"1,584.17","1,350.55","1,016.67",866.39,770.51,703.59,613.77
Net Cash / Debt,109.12,204.85,153.9,117.13,128.09,94.45,67.84
Net Cash / Debt Growth,-46.73%,33.11%,31.40%,-8.56%,35.61%,39.22%,-
Net Cash Per Share,11.85,22.53,16.41,11.54,15.55,12.96,9.31
Book Value Per Share,15.83,14.07,11.44,9.87,10.91,9.49,7.57
