Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,25.12,57.71,103.09,49.32,52.59,37.83,24.59,28.14,35.58,27.64,Upgrade
Cash & Cash Equivalents,25.12,57.71,103.09,49.32,52.59,37.83,24.59,28.14,35.58,27.64,Upgrade
Cash Growth,-56.47%,-44.02%,109.04%,-6.23%,39.02%,53.87%,-12.62%,-20.91%,28.74%,39.57%,Upgrade
Receivables,790.96,803.13,747.99,675.24,635.71,593.96,555.88,514.52,502.81,482,Upgrade
"Property, Plant & Equipment",2.76,2.96,4.39,4.56,4.69,7.28,6.67,7.03,7.67,6.42,Upgrade
Goodwill and Intangibles,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.58,Upgrade
Total Assets,"2,243.35","2,255.18","2,160.52","1,923.16","1,832.08","1,737.92","1,623.13","1,537.83","1,458.65","1,385.41",Upgrade
Accounts Payable,8.67,3.95,13.53,12.19,15.76,11.43,4.37,7.62,12.2,22.26,Upgrade
Deferred Revenue,577.65,572.96,537.19,510.15,506.53,503.46,466.06,429.49,408.65,382.73,Upgrade
Total Liabilities,"1,759.76","1,724.14","1,642.75","1,472.15","1,433.21","1,289.22","1,184.52","1,129.45","1,042.52",988.53,Upgrade
Total Debt,35,35,90,40,65,64,74,86,58.5,63,Upgrade
Debt Growth,-,-61.11%,125.00%,-38.46%,1.56%,-13.51%,-13.95%,47.01%,-7.14%,-13.06%,Upgrade
Common Stock,284.73,264.01,248.26,227.24,220.35,214.49,195.93,178.59,187.53,176.3,Upgrade
Retained Earnings,240.56,263.75,258.39,223.27,192.75,236.89,244.94,229.02,223.25,222.89,Upgrade
Comprehensive Income,-41.7,3.28,11.13,0.5,-14.23,-2.68,-2.25,0.77,5.35,-2.31,Upgrade
Shareholders' Equity,483.59,531.04,517.77,451.02,398.87,448.7,438.62,408.39,416.13,396.88,Upgrade
Total Liabilities and Equity,"2,243.35","2,255.18","2,160.52","1,923.16","1,832.08","1,737.92","1,623.13","1,537.83","1,458.65","1,385.41",Upgrade
Net Cash / Debt,-9.88,22.71,13.09,9.32,-12.41,-26.17,-49.41,-57.86,-22.92,-35.36,Upgrade
Net Cash / Debt Growth,-,73.43%,40.51%,-,-,-,-,-,-,-,Upgrade
Book Value Per Share,14.89,16.95,17.39,15.72,14.06,16.36,16.36,14.55,15.45,15.11,Upgrade
