Year,2021,2020,2019,2018,2017,2016
Cash & Equivalents,773.41,658.71,129.81,88.42,87.69,35.37
Cash & Cash Equivalents,773.41,658.71,129.81,88.42,87.69,35.37
Cash Growth,17.41%,407.46%,46.81%,0.83%,147.97%,-
Receivables,147.66,49.52,113.69,73.84,24.89,0.48
"Property, Plant & Equipment",25.25,20.2,20.93,5.56,2.41,1.1
Goodwill and Intangibles,11.06,11.04,6.03,7.16,8.98,0.98
Total Assets,"3,227.75","2,100.32",453.52,350.91,350.9,121.36
Accounts Payable,45.08,22,8.4,32.7,9.01,0.54
Total Liabilities,"2,681.14","1,824.66",324.49,233.31,223.87,77.48
Total Debt,899.52,422.82,134.88,106.17,174.28,59.75
Debt Growth,112.74%,213.47%,27.05%,-39.08%,191.67%,-
Common Stock,174.8,104.73,102.95,99.15,100.24,34.67
Retained Earnings,441.92,208.62,66.34,41.5,34.35,16.15
Comprehensive Income,-63.13,-36.05,-37.97,-23.05,-7.56,-6.94
Shareholders' Equity,553.6,277.3,131.31,117.6,127.03,43.89
Total Liabilities and Equity,"3,234.75","2,101.96",455.8,350.91,350.9,121.36
Net Cash / Debt,-126.11,235.89,-5.08,-17.75,-86.58,-24.39
Net Cash Per Share,-2.12,4.04,-0.09,-0.30,-2.59,-2.17
Book Value Per Share,9.32,4.75,2.26,2.03,3.82,3.91
