Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2006
Cash & Equivalents,"144,832","177,757","124,489","80,993","88,897","98,337","74,250","79,404","74,872","82,659",Upgrade
Cash & Cash Equivalents,"144,832","177,757","124,489","80,993","88,897","98,337","74,250","79,404","74,872","82,659",Upgrade
Cash Growth,-18.52%,42.79%,53.70%,-8.89%,-9.60%,32.44%,-6.49%,6.05%,-9.42%,4.25%,Upgrade
"Property, Plant & Equipment",0,0,0,0,0,0,"4,590","4,482","6,167","7,909",Upgrade
Goodwill and Intangibles,"7,116","6,723","6,655","6,622","6,616","6,543","6,480","6,537","7,781","12,368",Upgrade
Total Assets,"720,053","781,992","799,491","723,039","694,235","738,056","798,656","815,408","1,051,019","1,027,878",Upgrade
Total Liabilities,"683,557","740,189","755,667","679,483","647,745","688,963","749,252","761,261","992,310","968,663",Upgrade
Total Debt,"146,372","153,208","209,171","194,208","168,629","184,832","263,720","285,855","400,085","353,345",Upgrade
Debt Growth,-4.46%,-26.75%,7.70%,15.17%,-8.77%,-29.91%,-7.74%,-28.55%,13.23%,-33.20%,Upgrade
Common Stock,"36,488","41,796","43,860","43,547","45,736","48,330","48,609","53,431","55,763","58,742",Upgrade
Shareholders' Equity,"36,488","41,796","43,860","43,547","45,736","48,330","48,609","53,431","55,763","58,742",Upgrade
Total Liabilities and Equity,"720,045","781,985","799,527","723,030","693,481","737,293","797,861","814,692","1,048,073","1,027,405",Upgrade
Net Cash / Debt,"-1,540","24,549","-84,682","-113,215","-79,732","-86,495","-189,470","-206,451","-325,213","-270,686",Upgrade
Book Value Per Share,6.85,7.44,7.81,7.79,8.23,8.80,9.01,10.04,10.63,11.33,Upgrade
