Year,2022,2021,2020,2019,2018,2017,2016,2015
Cash & Equivalents,119.35,296.86,170.22,86.45,107.74,101.98,31.93,16.68
Cash & Cash Equivalents,119.35,296.86,170.22,86.45,107.74,101.98,31.93,16.68
Cash Growth,-59.80%,74.40%,96.89%,-19.76%,5.65%,219.37%,91.49%,-
"Property, Plant & Equipment",56.45,49.46,43.18,35.29,24.49,18.58,9.15,9.58
Goodwill and Intangibles,136.62,64.41,64.64,53.12,20.32,20.66,0,0
Total Assets,"3,660.43","2,937.55","2,718.02","2,210.17","1,793.17","1,753.4",478.69,541.26
Total Liabilities,"3,207.33","2,614.9","2,423.16","1,979.96","1,618.84","1,591.68",407.08,462.28
Total Debt,122.63,66.63,77.35,114.28,42.99,67.57,0,9
Debt Growth,84.03%,-13.85%,-32.32%,165.83%,-36.38%,-,-,-
Common Stock,173.17,60.94,67.71,38.22,6.33,14.87,57.62,57.61
Retained Earnings,295.5,258.1,221.39,189.49,168.36,145.88,14.65,21.19
Comprehensive Income,-15.57,3.61,5.76,2.49,-0.37,0.98,-0.66,0.18
Shareholders' Equity,453.1,322.65,294.86,230.21,174.32,161.73,71.61,78.98
Total Liabilities and Equity,"3,660.43","2,937.55","2,718.02","2,210.17","1,793.17","1,753.4",478.69,541.26
Net Cash / Debt,-3.27,230.23,92.87,-27.83,64.75,34.41,31.93,7.68
Net Cash / Debt Growth,-,147.89%,-,-,88.19%,7.76%,316.04%,-
Book Value Per Share,50.18,42.29,38.14,32.49,26.23,24.27,10.75,-
