Year,2021,2020,2019,2018,2017,2016,2015,2014
Cash & Equivalents,91.63,22.2,2.78,3.07,3.28,11.88,1.12,0.38
Short-Term Investments,40.67,6.6,2.43,0.08,0.69,0.28,0.21,0
Cash & Cash Equivalents,132.29,28.79,5.22,3.15,3.97,12.15,1.33,0.38
Cash Growth,359.44%,452.02%,65.39%,-20.46%,-67.37%,815.41%,252.67%,-
Receivables,78.31,30.63,1.23,31.24,21.13,15.64,10.72,5.38
Inventory,3.98,0,0,0.37,1.58,2.25,2.84,1.88
Other Current Assets,13.22,0.97,46.47,0.52,11.9,4.54,1.94,3.91
Total Current Assets,227.8,60.4,52.92,35.27,38.58,34.58,16.84,11.55
"Property, Plant & Equipment",0.94,2.12,0.79,12.52,14.59,11.19,11.67,8.41
Long-Term Investments,16.61,16.22,3.37,3.05,0,0,0,0
Goodwill and Intangibles,28.63,28.9,15.26,0.97,1.09,1.07,1.2,1.33
Other Long-Term Assets,0,0.46,21.66,4.84,0.29,0.24,0.43,1.49
Total Long-Term Assets,46.18,47.7,41.08,21.38,15.97,12.5,13.3,11.23
Total Assets,273.98,108.1,94,56.65,54.55,47.08,30.13,22.78
Accounts Payable,61.22,3.38,7.98,1.36,1.28,1.25,1.55,0.72
Deferred Revenue,3.43,0.01,0,0,0,1.04,1.11,0.58
Current Debt,11.65,11.27,0.14,3.99,0.69,0.29,0.81,0.85
Other Current Liabilities,12.43,12.14,29.31,14.33,11.22,12.82,10.18,7.62
Total Current Liabilities,88.72,26.8,37.43,19.68,13.19,15.4,13.65,9.76
Long-Term Debt,0.15,0.68,0.37,0.21,0.83,0.53,0,0
Other Long-Term Liabilities,0.5,0.68,2.26,0,0,0,0,0
Total Long-Term Liabilities,0.65,1.36,2.63,0.21,0.83,0.53,0,0
Total Liabilities,89.38,28.16,40.07,19.9,14.02,15.93,13.65,9.76
Total Debt,11.8,11.95,0.51,4.21,1.52,0.82,0.81,0.85
Debt Growth,-1.22%,2260.15%,-87.96%,176.83%,85.08%,0.82%,-4.33%,-
Common Stock,137.17,63.62,28.39,13.38,10.25,10.25,0.12,0.12
Retained Earnings,37.82,9.63,27.47,24.73,29.88,22.74,16.81,12.41
Comprehensive Income,5.63,3.59,-1.91,-1.35,0.4,-1.85,-0.45,0.48
Shareholders' Equity,180.63,76.84,53.95,36.76,40.53,31.15,16.48,13.01
Total Liabilities and Equity,270,105,94.01,56.65,54.55,47.08,30.13,22.78
Net Cash / Debt,120.49,16.85,4.71,-1.05,2.45,11.33,0.51,-0.47
Net Cash / Debt Growth,615.14%,257.72%,-,-,-78.41%,2106.76%,-,-
Net Cash Per Share,5.60,0.91,0.29,-0.07,0.17,0.94,0.04,-0.04
Working Capital,139.07,33.6,15.48,15.59,25.39,19.18,3.18,1.79
Book Value Per Share,8.40,4.13,3.32,2.33,2.76,2.59,1.37,1.08
