Year,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cash & Equivalents,3.93,5.42,7.48,8.02,11.3,10.89,35.68,38.95,33.5
Cash & Cash Equivalents,3.93,5.42,7.48,8.02,11.3,10.89,35.68,38.95,33.5
Cash Growth,-27.50%,-27.53%,-6.74%,-29.06%,3.78%,-69.49%,-8.39%,16.29%,-
Receivables,0.33,0.29,0.47,0.52,0.02,3.84,4.09,4.14,4.1
"Property, Plant & Equipment",0.05,0.14,0.24,0.14,0.02,0.04,0.05,0.06,0.05
Total Assets,16.62,17.69,9.08,9.5,12.56,21.39,51,52.69,49.69
Accounts Payable,0.29,0.34,0.21,0.28,0.14,0.24,1.67,10.09,7.24
Total Liabilities,1.63,1.04,1.06,1.45,4.25,7.48,13.84,15.66,12.99
Total Debt,0.26,0.35,0.44,0.73,0,0,0,0,0
Debt Growth,-25.93%,-19.86%,-40.25%,-,-,-,-,-,-
Common Stock,32.49,32.36,32.3,32.27,32.23,32.11,33.04,33.66,33.55
Retained Earnings,-17.5,-15.71,-24.28,-24.23,-23.92,-18.15,4.53,4.84,3.15
Comprehensive Income,0,0,0,0,0,-0.04,-0.41,-1.47,0.02
Shareholders' Equity,14.99,16.65,8.03,8.04,8.31,13.92,37.16,37.03,36.71
Total Liabilities and Equity,16.62,17.69,9.08,9.5,12.56,21.39,51,52.69,49.69
Net Cash / Debt,3.67,5.07,7.04,7.28,11.3,10.89,35.68,38.95,33.5
Net Cash / Debt Growth,-27.61%,-28.01%,-3.36%,-35.54%,3.78%,-69.49%,-8.39%,16.29%,-
Net Cash Per Share,0.64,0.88,1.23,1.27,1.97,1.87,5.92,6.43,6.89
Book Value Per Share,2.60,2.90,1.40,1.40,1.45,2.40,6.17,6.11,7.55
