Year,2022,2021,2020,2019,2014,2013,2012,2011,2010,2009,2008 - 2004
Cash & Equivalents,95.41,152.37,69.29,127.78,34.16,33.67,49.64,85.22,47.44,97.43,Upgrade
Cash & Cash Equivalents,95.41,152.37,69.29,127.78,34.16,33.67,49.64,85.22,47.44,97.43,Upgrade
Cash Growth,-37.38%,119.90%,-45.77%,274.05%,1.45%,-32.17%,-41.75%,79.64%,-51.31%,163.10%,Upgrade
"Property, Plant & Equipment",31.63,30.31,25.65,23.86,11.72,16.22,17.17,9.53,7.72,8.86,Upgrade
Goodwill and Intangibles,0.2,0.65,0.65,0.75,1.03,1.09,1.49,1.78,1.84,1.9,Upgrade
Total Assets,"1,424.96","1,225.07",968.22,955.17,515.43,458.23,444.22,489.29,466.01,527.28,Upgrade
Accounts Payable,14.75,13.54,8.86,8.49,4.23,3.86,3.74,5.24,2.49,1.83,Upgrade
Total Liabilities,"1,162.97",973.69,814.4,813.06,411.62,354.06,340.38,382.22,357.87,419.83,Upgrade
Total Debt,26.27,32.98,33.83,25.41,33.34,24.99,18.52,23.35,28.55,38.48,Upgrade
Debt Growth,-20.37%,-2.51%,33.16%,-23.79%,33.42%,34.95%,-20.71%,-18.21%,-25.80%,-18.31%,Upgrade
Common Stock,129.16,137.2,48.71,48.45,48.29,49.81,50.23,50.08,52.97,53.48,Upgrade
Retained Earnings,132.67,114.32,105.31,93.77,55.55,54.43,53.89,57.08,55.34,54.12,Upgrade
Comprehensive Income,0.16,-0.14,-0.19,-0.1,-0.03,-0.07,-0.27,-0.09,-0.17,-0.15,Upgrade
Shareholders' Equity,261.99,251.38,153.83,142.11,103.81,104.17,103.85,107.07,108.14,107.45,Upgrade
Total Liabilities and Equity,"1,424.96","1,225.07",968.22,955.17,515.43,458.23,444.22,489.29,466.01,527.28,Upgrade
Net Cash / Debt,69.14,119.39,35.46,102.37,0.82,8.69,31.13,61.87,18.89,58.95,Upgrade
Net Cash / Debt Growth,-42.08%,236.69%,-65.36%,12353.41%,-90.54%,-72.09%,-49.69%,227.55%,-67.96%,-,Upgrade
Net Cash Per Share,4.40,7.53,2.20,8.51,0.07,0.71,2.53,4.97,1.49,4.61,Upgrade
Book Value Per Share,16.98,15.86,9.53,11.82,8.57,8.46,8.45,8.59,8.51,8.40,Upgrade
