Year,2022,2021,2020,2019,2018,2017,2016
Cash & Equivalents,122.2,242.15,133.44,192.46,242.15,0.01,0.03
Cash & Cash Equivalents,122.2,242.15,133.44,192.46,242.15,0.01,0.03
Cash Growth,-49.53%,81.47%,-30.67%,-20.52%,4528532.88%,-78.61%,-
Receivables,404.8,179.35,166.61,112.98,179.35,0,0
Other Current Assets,-,-,-,-305.32,-421.02,0.01,0
Total Current Assets,-,-,-,0.11,0.47,0.02,0.03
"Property, Plant & Equipment",0,31.17,33.18,38.45,31.17,0,0
Long-Term Investments,-,-,-,179.49,176.44,0,0
Goodwill and Intangibles,0,4.32,4.71,3.89,4.32,0,0
Other Long-Term Assets,-,-,-,-42.33,-35.49,0.22,0.16
Total Long-Term Assets,-,-,-,179.49,176.44,0.22,0.16
Total Assets,"1,580.4","1,451.73","1,279.21","1,009.07","1,451.73",0.24,0.19
Accounts Payable,90.4,89.52,83.46,53.54,89.52,0.03,0
Deferred Revenue,390.2,342.45,288.31,215.12,342.45,0,0
Current Debt,-,-,-,0,0,0.2,0.17
Other Current Liabilities,-,-,-,-268.23,-431.78,0,0
Total Current Liabilities,-,-,-,0.44,0.19,0.24,0.17
Long-Term Debt,-,-,-,2.23,1.73,0,0
Other Long-Term Liabilities,-,-,-,7.35,7.35,0,0
Total Long-Term Liabilities,-,-,-,9.58,9.08,0,0
Total Liabilities,"1,169.4","1,049.86",898.2,696.93,"1,049.86",0.24,0.17
Total Debt,0,0,0,0,0,0.2,0.17
Debt Growth,-,-,-,-,-,22.45%,-
Common Stock,148.4,160.03,158.16,126.05,160.03,0.03,0.03
Retained Earnings,306.8,232.62,205.04,182.16,232.62,-0.02,-0
Comprehensive Income,-44.2,9.21,17.81,3.94,9.21,0,0
Shareholders' Equity,411,401.87,381.01,312.14,401.87,0.01,0.02
Total Liabilities and Equity,"1,580.4","1,451.73","1,279.21","1,009.07","1,451.73",0.24,0.19
Net Cash / Debt,122.2,242.15,133.44,192.46,242.15,-0.2,-0.14
Net Cash / Debt Growth,-49.53%,81.47%,-30.67%,-20.52%,-,-,-
Net Cash Per Share,-,-,-,33.96,46.52,-0.05,-0.04
Working Capital,-,-,-,-0.33,0.28,-0.22,-0.14
Book Value Per Share,8.36,8.22,7.86,55.09,77.20,0.00,0.01
