Year,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cash & Equivalents,3.14,4.61,6.6,6.63,4.64,6.88,4.38,2.18,1.14
Cash & Cash Equivalents,3.14,4.61,6.6,6.63,4.64,6.88,4.38,2.18,1.14
Cash Growth,-31.83%,-30.19%,-0.42%,42.67%,-32.45%,57.11%,100.82%,90.91%,-
Receivables,31.27,27.2,23.51,22.37,21.4,19.01,17.48,15.64,40.38
"Property, Plant & Equipment",3.31,3.14,2.86,3.03,3.33,6.63,5.93,4.24,3.61
Total Assets,192.16,200,183.94,163,150.28,152.34,122.16,123.37,123.43
Accounts Payable,1.41,1.37,0.37,0.37,0.99,0.33,0.11,0,0
Deferred Revenue,40.53,36.21,29.79,30.39,29.97,26.56,24.78,23.95,22.5
Total Liabilities,131.72,125.3,111.2,96.66,91.69,88.23,88.56,93.21,94.39
Total Debt,15,18.46,13.47,3.48,3.48,4.34,3.79,3.27,2.79
Debt Growth,-18.72%,37.06%,287.49%,-0.27%,-19.69%,14.58%,15.68%,17.51%,-
Common Stock,25.58,27.5,27.08,26.78,26.49,29.09,0,0,0
Retained Earnings,43.7,44.28,40.14,36.61,33.68,32.79,32.45,29.64,27.48
Comprehensive Income,-8.84,2.92,5.52,2.95,-1.58,2.23,1.15,0.53,1.55
Shareholders' Equity,60.44,74.7,72.74,66.34,58.59,64.1,33.6,30.17,29.03
Total Liabilities and Equity,192.16,200,183.94,163,150.28,152.34,122.16,123.37,123.43
Net Cash / Debt,-11.86,-13.85,-6.87,3.15,1.16,2.54,0.59,-1.09,-1.64
Net Cash / Debt Growth,-,-,-,171.64%,-54.28%,330.13%,-,-,-
Net Cash Per Share,-3.91,-4.52,-2.26,1.05,0.37,0.80,0.19,-,-
Book Value Per Share,19.93,24.51,24.02,22.05,18.78,20.30,10.67,8.62,-
