Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,355.68,344.68,409.6,78.05,78.11,70.73,96.36,88.6,48.56,82.01,Upgrade
Cash & Cash Equivalents,355.68,344.68,409.6,78.05,78.11,70.73,96.36,88.6,48.56,82.01,Upgrade
Cash Growth,3.19%,-15.85%,424.78%,-0.08%,10.44%,-26.59%,8.76%,82.45%,-40.79%,183.52%,Upgrade
"Property, Plant & Equipment",27.2,25.59,21.76,28.52,19.77,18.2,17.84,11.16,11.91,7.06,Upgrade
Goodwill and Intangibles,2.59,2.59,2.67,2.8,2.88,2.97,3.09,3.24,3.44,0.48,Upgrade
Total Assets,"3,252.45","2,456.26","2,253.75","1,882.18","1,873.67","1,796.61","1,628.92","1,330.37","1,099.53",779.62,Upgrade
Total Liabilities,"3,013.98","2,254.28","2,077.15","1,699.79","1,699.47","1,635.58","1,483.02","1,198.6",970.32,710.13,Upgrade
Total Debt,158.96,84.44,200.26,175.21,185.16,224.1,185.05,145,129,44,Upgrade
Debt Growth,88.25%,-57.83%,14.30%,-5.37%,-17.38%,21.10%,27.62%,12.40%,193.18%,-51.65%,Upgrade
Common Stock,115.02,118.15,121.34,120.59,120.53,118.3,115.35,112.58,118.25,63.09,Upgrade
Retained Earnings,123.64,92.4,70.84,69.32,54.71,41.03,29.65,18.96,10.43,5.98,Upgrade
Comprehensive Income,-0.19,-8.56,-15.58,-7.52,-1.04,1.69,0.89,0.23,0.53,0.42,Upgrade
Shareholders' Equity,238.47,201.99,176.6,182.4,174.2,161.03,145.9,131.77,129.21,69.49,Upgrade
Total Liabilities and Equity,"3,252.45","2,456.26","2,253.75","1,882.18","1,873.67","1,796.61","1,628.92","1,330.37","1,099.53",779.62,Upgrade
Net Cash / Debt,196.72,260.24,209.34,-97.16,-107.04,-153.37,-88.7,-56.4,-80.44,38.01,Upgrade
Net Cash / Debt Growth,-24.41%,24.31%,-,-,-,-,-,-,-,-,Upgrade
Net Cash Per Share,25.75,33.53,27.02,-12.48,-13.77,-20.00,-11.84,-7.90,-14.35,11.01,Upgrade
Book Value Per Share,31.53,26.21,22.85,23.51,22.56,21.27,19.73,18.63,23.16,20.46,Upgrade
