Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,420.64,208.5,324.82,228.65,324.07,298.27,245.26,112.86,39.9,37.24,Upgrade
Cash & Cash Equivalents,420.64,208.5,324.82,228.65,324.07,298.27,245.26,112.86,39.9,37.24,Upgrade
Cash Growth,101.74%,-35.81%,42.06%,-29.45%,8.65%,21.62%,117.32%,182.84%,7.14%,-15.69%,Upgrade
"Property, Plant & Equipment",263.29,240.2,259.27,279.1,262.52,178.79,64.66,62.65,35.28,25.04,Upgrade
Goodwill and Intangibles,26.32,33.57,33.92,35.37,47.64,52.3,51.99,44.23,35,29.05,Upgrade
Total Assets,"9,855.5","8,213.39","7,872.3","4,812.83","3,670.45","2,758.47","1,755.26","1,052.62",673.32,430.36,Upgrade
Total Liabilities,"9,044.47","7,498.26","7,304.45","4,280.44","3,176.89","2,321.54","1,532.41",853.13,581.5,378.36,Upgrade
Total Debt,83.2,318.29,"1,542.09",0.01,1.46,26.56,27.84,28.38,47.95,15.93,Upgrade
Debt Growth,-73.86%,-79.36%,11014850.00%,-99.04%,-94.52%,-4.59%,-1.87%,-40.82%,201.00%,19.18%,Upgrade
Common Stock,330.85,312.29,310.62,340.4,328.11,317.73,199.98,187.51,98.67,18.32,Upgrade
Retained Earnings,572.5,400.89,235.72,180.27,167.12,120.24,23.52,12.14,-6.94,30.26,Upgrade
Comprehensive Income,-92.32,1.95,21.51,11.72,-1.68,-1.03,-0.65,-0.19,0.09,-0.19,Upgrade
Shareholders' Equity,811.03,715.13,567.85,532.39,493.56,436.93,222.85,199.46,91.81,48.39,Upgrade
Total Liabilities and Equity,"9,855.5","8,213.39","7,872.3","4,812.83","3,670.45","2,758.47","1,755.26","1,052.59",673.32,426.75,Upgrade
Net Cash / Debt,337.43,-109.79,"-1,217.27",228.63,322.62,271.71,217.42,84.48,-8.05,21.31,Upgrade
Net Cash / Debt Growth,-,-,-,-29.13%,18.74%,24.97%,157.35%,-,-,-30.81%,Upgrade
Book Value Per Share,18.44,16.48,13.97,13.21,12.29,10.96,6.51,5.84,2.81,-,Upgrade
