Year,2022,2021,2020,2019,2018,2017
Cash & Equivalents,"1,955.73","1,700.88",947.6,377.32,41.1,18.06
Short-Term Investments,163.48,6.95,19.26,80.48,36.44,0
Cash & Cash Equivalents,"2,119.21","1,707.83",966.86,457.81,77.54,18.06
Cash Growth,24.09%,76.64%,111.19%,490.43%,329.30%,-
Receivables,649.46,"1,472.24","1,141.6",294.65,18.49,6.64
Other Current Assets,969.91,91.19,43.76,17.29,6.88,3.44
Total Current Assets,"3,738.58","3,271.27","2,152.22",769.75,102.91,28.14
"Property, Plant & Equipment",30.46,20.65,16.97,15.27,2.33,1.08
Long-Term Investments,7.93,9.78,6.48,6.02,2.39,2.19
Goodwill and Intangibles,2.49,2.49,2.42,2.42,0,0
Other Long-Term Assets,17.9,17.23,14.22,15.61,7.59,4.6
Total Long-Term Assets,58.78,50.15,40.1,39.31,12.31,7.87
Total Assets,"3,797.36","3,321.42","2,192.32",809.06,115.22,36
Accounts Payable,"2,996.87","2,681.87","1,914.74",566.26,6.56,1.25
Deferred Revenue,2.19,2.6,2.41,2.25,0,0
Current Debt,5.49,2.61,3.51,2.4,0,0
Other Current Liabilities,176.01,32.86,30.71,16.68,10.42,6.8
Total Current Liabilities,"3,180.56","2,719.94","1,951.37",587.59,16.99,8.05
Long-Term Debt,8.39,28.42,3.69,3.44,0,0
Other Long-Term Liabilities,156.79,126.43,1.57,3,0,0
Total Long-Term Liabilities,165.18,154.85,5.26,6.44,0,0
Total Liabilities,"3,345.73","2,874.79","1,956.63",594.03,16.99,8.05
Total Debt,13.88,31.03,7.21,5.84,0,0
Debt Growth,-55.27%,330.59%,23.38%,-,-,-
Common Stock,499.73,485.75,292.34,286.51,42.53,8.15
Retained Earnings,-50.37,-45.79,-59.58,-73.7,-66.39,-23.18
Comprehensive Income,-2.23,6.67,2.93,-0.87,-0.54,0.21
Shareholders' Equity,447.13,446.63,235.69,211.94,-24.41,-14.83
Total Liabilities and Equity,"3,792.86","3,321.42","2,192.32",805.98,-7.42,-6.78
Net Cash / Debt,"2,105.33","1,676.8",959.65,451.96,77.54,18.06
Net Cash / Debt Growth,25.56%,74.73%,112.33%,482.90%,329.30%,-
Net Cash Per Share,0.92,0.76,0.45,0.26,0.15,0.04
Working Capital,558.02,551.33,200.85,182.15,85.92,20.09
Book Value Per Share,2.92,3.04,1.67,1.81,-0.72,-0.50
