Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,40.33,263.86,213.36,48.59,66.74,27.24,43.67,22.8,19.91,24.61,Upgrade
Cash & Cash Equivalents,40.33,263.86,213.36,48.59,66.74,27.24,43.67,22.8,19.91,24.61,Upgrade
Cash Growth,-84.71%,23.67%,339.11%,-27.20%,144.99%,-37.62%,91.57%,14.51%,-19.09%,62.50%,Upgrade
"Property, Plant & Equipment",34.5,36.88,35.84,37.08,27.58,27.39,24.28,21.83,21.11,20.18,Upgrade
Goodwill and Intangibles,16.78,17.58,17.78,18,18.27,18.57,18.9,18.34,18.56,18.91,Upgrade
Total Assets,"2,000.08","1,940.81","1,834.64","1,665.32","1,684.77","1,474.49","1,348.59","1,320.06","1,245.01","1,212",Upgrade
Total Liabilities,"1,832.42","1,768.54","1,670.5","1,510.34","1,541.23","1,336.3","1,210.34","1,183.78","1,109.04","1,084.18",Upgrade
Total Debt,258.84,134.61,161.89,171.01,306.81,171.72,99.24,137.66,111.99,97.92,Upgrade
Debt Growth,92.29%,-16.85%,-5.33%,-44.26%,78.67%,73.03%,-27.91%,22.92%,14.38%,-10.56%,Upgrade
Common Stock,83.48,83.63,82.26,81.15,80.39,79.8,81.57,82.04,84.53,85.16,Upgrade
Retained Earnings,98.15,89.76,82.77,76.58,69.79,63.36,61.61,58.04,53.11,47.55,Upgrade
Comprehensive Income,-13.96,-1.11,-0.88,-2.78,-6.64,-4.97,-4.93,-3.8,-1.67,-4.89,Upgrade
Shareholders' Equity,167.67,172.27,164.14,154.96,143.54,138.19,138.25,136.28,135.97,127.82,Upgrade
Total Liabilities and Equity,"2,000.08","1,940.81","1,834.64","1,665.3","1,684.76","1,474.49","1,348.59","1,320.06","1,245.01","1,212",Upgrade
Net Cash / Debt,-218.51,129.25,51.46,-122.42,-240.07,-144.48,-55.57,-114.87,-92.09,-73.31,Upgrade
Net Cash / Debt Growth,-,151.15%,-,-,-,-,-,-,-,-,Upgrade
Net Cash Per Share,-30.95,18.30,7.31,-17.21,-34.12,-20.47,-7.82,-16.05,-12.75,-11.08,Upgrade
Book Value Per Share,23.75,24.39,23.30,22.02,20.40,19.58,19.46,19.04,18.82,19.32,Upgrade
