Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,53.35,12.02,77.43,72.6,26.38,82.82,19.61,28.59,0,0,Upgrade
Short-Term Investments,83.4,101.16,75.63,112.31,91.68,101.74,113.03,141.51,0,0,Upgrade
Cash & Cash Equivalents,136.75,113.18,153.06,184.91,118.07,184.57,132.64,170.1,0,0,Upgrade
Cash Growth,20.83%,-26.06%,-17.23%,56.62%,-36.03%,39.15%,-22.02%,-,-,-,Upgrade
Receivables,4.76,4.22,4.89,3.63,3.73,3.51,3.19,3.08,0,0,Upgrade
Other Current Assets,"1,312.72","1,427.16",0,0,-121.8,-188.07,-135.83,-173.18,944.1,864,Upgrade
Total Current Assets,"1,454.23","1,544.56",157.95,188.54,0,0,0,0,944.1,864,Upgrade
"Property, Plant & Equipment",27.75,30.51,31.12,25.31,4.2,3.88,4.52,5.45,5.8,5.8,Upgrade
Long-Term Investments,83.6,101.37,75.84,112.53,91.91,102.01,113.37,141.89,0,0,Upgrade
Goodwill,8.85,8.85,8.85,8.85,0,0,0,0,0,0,Upgrade
Intangible Assets,1.83,2.39,3.04,3.76,0,0,0,0,0.1,0.2,Upgrade
Other Long-Term Assets,-76,0,0,0,-96.11,-105.89,-117.89,-147.34,5.3,7.4,Upgrade
Total Long-Term Assets,46.03,143.12,118.85,150.46,0,0,0,0,11.2,13.4,Upgrade
Total Assets,"1,601.78","1,687.68","1,602.84","1,454.89","1,251.56","1,200.59","1,026","1,013.32",955.3,877.4,Upgrade
Accounts Payable,1.03,1.04,2.48,3.89,2.2,1.59,1.34,1.41,1.6,1.7,Upgrade
Current Debt,16.77,0,0,0,0,0,0,0,0,0,Upgrade
Other Current Liabilities,-1.03,0,0,0,-2.2,-1.59,-1.34,-1.41,-1.6,-1.7,Upgrade
Total Current Liabilities,16.77,1.04,2.48,3.89,0,0,0,0,0,0,Upgrade
Long-Term Debt,10,18.56,18.99,15.04,55.4,0,56.1,128.8,0,0,Upgrade
Other Long-Term Liabilities,"1,355.41",0,-16.51,-11.16,0,0,0,0,0,0,Upgrade
Total Long-Term Liabilities,"1,365.41",18.56,2.48,3.89,55.4,0,56.1,128.8,0,0,Upgrade
Total Liabilities,"1,382.18","1,471.1","1,394.02","1,258.97","1,067.25","1,032.3",922.53,921.88,876.8,813.2,Upgrade
Total Debt,10,18.56,18.99,15.04,55.4,0,56.1,128.8,0,0,Upgrade
Debt Growth,-46.12%,-2.24%,26.24%,-72.85%,-,-,-56.44%,-,-,-,Upgrade
Common Stock,34.55,34.1,33.95,33.81,33.28,32.76,23.5,23.44,22.9,22.9,Upgrade
Retained Earnings,131.49,111.45,93.37,82.27,73.63,59.12,48.11,36.27,25.3,16.3,Upgrade
Comprehensive Income,-8.27,0.84,1.79,0.63,-0.49,0.07,-0,0.52,1.2,-7.8,Upgrade
Shareholders' Equity,219.6,216.58,208.82,195.93,184.32,168.3,103.46,91.44,78.5,64.2,Upgrade
Total Liabilities and Equity,"1,601.78","1,687.68","1,602.84","1,454.89","1,251.56","1,200.59","1,026","1,013.32",955.3,877.4,Upgrade
Net Cash / Debt,126.75,94.62,134.07,169.87,62.67,184.57,76.54,41.3,0,0,Upgrade
Net Cash / Debt Growth,33.97%,-29.43%,-21.07%,171.08%,-66.05%,141.14%,85.33%,-,-,-,Upgrade
Net Cash Per Share,19.65,13.89,19.52,24.63,9.12,31.89,15.25,8.79,-,-,Upgrade
Working Capital,"1,437.45","1,543.51",155.47,184.65,0,0,0,0,944.1,864,Upgrade
Book Value Per Share,34.05,32.49,30.83,29.11,27.81,30.62,22.03,19.45,16.74,13.84,Upgrade
