Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,"4,772.84","4,545.34","4,609.71","5,720.76","2,681.9","1,636.18","1,972.51","2,444.2","2,364.58","2,182.87",Upgrade
Cash & Cash Equivalents,"4,772.84","4,545.34","4,609.71","5,720.76","2,681.9","1,636.18","1,972.51","2,444.2","2,364.58","2,182.87",Upgrade
Cash Growth,5.00%,-1.40%,-19.42%,113.31%,63.91%,-17.05%,-19.30%,3.37%,8.32%,-75.50%,Upgrade
"Property, Plant & Equipment",140.73,150.52,154.67,134.75,105.5,89.75,87.06,81.27,78.47,74.19,Upgrade
Goodwill and Intangibles,118.27,0,0,0,0,0,0,0,3.23,6.52,Upgrade
Total Assets,"28,811.03","29,221.9","30,770.42","32,686.48","26,638.17","21,779.58","18,533","15,214.1","12,972.24","10,706.66",Upgrade
Total Liabilities,"27,084.06","27,072.19","28,207.59","29,374.64","23,665.52","19,305.33","16,185.95","13,117.78","11,142.29","9,540.52",Upgrade
Total Debt,"5,235.11","5,930.99","5,189.22","4,643.27","4,284.3","3,275.27","2,167.98","1,079.28",0,0,Upgrade
Debt Growth,-11.73%,14.29%,11.76%,8.38%,30.81%,51.07%,100.87%,-,-,-,Upgrade
Common Stock,"-1,342.8",-649.53,874.67,"1,473.69","1,622.02","1,603.33","1,760.41","1,745.77","1,728.29","1,164.5",Upgrade
Retained Earnings,"3,163.64","2,817.13","1,722.37","1,850.51","1,340.02",868.18,595.32,366.61,113.07,0,Upgrade
Comprehensive Income,-93.87,-17.9,-34.2,-12.37,10.62,2.75,-8.67,-16.06,-11.39,-3.02,Upgrade
Shareholders' Equity,"1,726.97","2,149.71","2,562.84","3,311.84","2,972.66","2,474.26","2,347.06","2,096.32","1,829.96","1,161.47",Upgrade
Total Liabilities and Equity,"28,811.03","29,221.9","30,770.42","32,686.48","26,638.17","21,779.58","18,533","15,214.1","12,972.24","10,701.99",Upgrade
Net Cash / Debt,-462.28,"-1,385.65",-579.51,"1,077.49","-1,602.41","-1,639.1",-195.47,"1,364.92","2,364.58","2,182.87",Upgrade
Net Cash / Debt Growth,-,-,-,-,-,-,-,-42.28%,8.32%,-,Upgrade
Net Cash Per Share,-1.77,-4.33,-1.50,2.50,-3.64,-3.74,-0.45,3.16,5.47,4.87,Upgrade
Book Value Per Share,6.68,6.83,6.68,7.75,6.83,5.74,5.49,4.93,4.32,2.64,Upgrade
