Year,2022,2021,2020,2019,2018,2017
Cash & Equivalents,313.06,332.78,288.89,430.27,112,57.04
Short-Term Investments,5,0,56.89,2,66.01,14.24
Cash & Cash Equivalents,318.06,332.78,345.79,432.27,178.01,71.28
Cash Growth,-4.43%,-3.76%,-20.01%,142.84%,149.73%,-
Receivables,76.7,70.54,47.44,34.86,36.57,113.85
Total Current Assets,394.76,403.33,393.22,467.12,214.57,185.13
"Property, Plant & Equipment",43.54,41.35,26.95,4.03,0.89,1.02
Long-Term Investments,0,0,0,2,5,0
Goodwill and Intangibles,1.11,1.6,0.36,0.73,0.7,1.5
Other Long-Term Assets,24.53,21.63,12.18,5.53,4.7,4.01
Total Long-Term Assets,69.18,64.58,39.49,12.29,11.29,6.54
Total Assets,463.94,467.9,432.71,479.41,225.87,191.66
Accounts Payable,11.67,12.3,9.04,14.53,9.81,20.89
Deferred Revenue,1.5,0,0.42,0.18,0,0
Current Debt,11.89,13.71,7.4,0,0,0
Other Current Liabilities,142.07,104.29,30.66,61.12,22.41,12.23
Total Current Liabilities,167.13,130.29,47.52,75.83,32.21,33.11
Long-Term Debt,23.26,17.31,14.71,0,0,0
Other Long-Term Liabilities,13.5,0,0,0,0,0
Total Long-Term Liabilities,36.76,17.31,14.71,0,0,0
Total Liabilities,203.89,147.6,62.23,75.83,32.21,33.11
Total Debt,35.15,31.02,22.11,0,0,0
Debt Growth,13.33%,40.28%,-,-,-,-
Common Stock,248.61,248.4,247.18,245.13,77.39,100.08
Retained Earnings,11.84,72.71,120.31,155.27,107.41,48.64
Comprehensive Income,-0.39,-0.81,0.47,0.01,0,0
Shareholders' Equity,260.05,320.3,367.96,400.4,184.79,148.71
Total Liabilities and Equity,463.94,467.9,430.19,476.24,217.01,181.83
Net Cash / Debt,282.91,301.77,323.68,432.27,178.01,71.28
Net Cash / Debt Growth,-6.25%,-6.77%,-25.12%,142.84%,149.73%,-
Net Cash Per Share,3.13,3.34,3.58,5.09,2.23,0.89
Working Capital,227.63,273.03,345.7,391.29,182.36,152.01
Book Value Per Share,4.31,5.31,6.10,7.07,3.46,2.79
