Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2009
Cash & Equivalents,0.3,0.4,0.1,0.13,3.19,21.72,96.79,203.37,985.1,806.47,Upgrade
Short-Term Investments,556.11,555.13,662.18,615.18,579.65,791.39,675.34,0,70,130,Upgrade
Cash & Cash Equivalents,556.41,555.53,662.28,615.32,582.84,813.11,772.13,203.37,"1,055.1",936.47,Upgrade
Cash Growth,0.16%,-16.12%,7.63%,5.57%,-28.32%,5.31%,279.67%,-80.72%,12.67%,-18.29%,Upgrade
Receivables,0,0,0,0,0,0,18.73,569.52,278.45,580.34,Upgrade
Inventory,0,0,0,0,0,0,0,14.36,97.8,32.04,Upgrade
Other Current Assets,4.63,0.85,0.81,0.3,8.1,40.11,11.16,126.18,106.25,97.88,Upgrade
Total Current Assets,561.04,556.38,663.09,615.61,590.94,853.22,802.02,913.43,"1,537.59","1,646.72",Upgrade
"Property, Plant & Equipment",39.23,42.18,45.15,48.13,50.82,0.34,0.78,3.84,5.32,9.3,Upgrade
Goodwill and Intangibles,0.01,0.01,0.01,0.01,0.01,0,0,17.46,6.38,8.57,Upgrade
Other Long-Term Assets,0,0,0,0,0,14.93,0,0,63.61,8.85,Upgrade
Total Long-Term Assets,39.23,42.19,45.16,48.14,50.83,15.27,0.78,21.31,75.31,26.72,Upgrade
Total Assets,600.27,598.56,708.25,663.75,641.77,868.48,802.8,934.74,"1,612.9","1,673.45",Upgrade
Accounts Payable,25.94,21.66,14.12,9.23,35.26,26.72,2.68,57.97,79.78,54.67,Upgrade
Current Debt,168.7,161.57,171.57,172.89,200.42,226.37,200.47,0,0,0,Upgrade
Other Current Liabilities,117.47,97.03,76.26,55.46,39.03,22.51,19.96,145.01,202.01,118.6,Upgrade
Total Current Liabilities,312.11,280.26,261.94,237.59,274.7,275.6,223.11,202.98,281.79,173.26,Upgrade
Total Liabilities,312.11,280.26,261.94,237.59,274.7,275.6,223.11,202.98,281.79,173.26,Upgrade
Total Debt,168.7,161.57,171.57,172.89,200.42,226.37,200.47,0,0,0,Upgrade
Debt Growth,4.42%,-5.83%,-0.76%,-13.73%,-11.46%,12.92%,-,-,-,-,Upgrade
Common Stock,469.44,475.05,500.65,496.62,480.82,525.26,525.58,641.77,641.77,641.77,Upgrade
Retained Earnings,-181.05,-156.77,-54.32,-70.29,-113.26,67.63,54.11,108.47,708.8,878.57,Upgrade
Comprehensive Income,-0.23,0.03,-0.03,-0.17,-0.49,0,0,-18.48,-19.47,-20.15,Upgrade
Shareholders' Equity,288.16,318.3,446.3,426.16,367.07,592.88,579.69,731.76,"1,331.1","1,500.19",Upgrade
Total Liabilities and Equity,600.27,598.56,708.25,663.75,641.77,868.48,802.8,934.74,"1,612.9","1,673.45",Upgrade
Net Cash / Debt,387.7,393.96,490.71,442.43,382.43,586.74,571.66,203.37,"1,055.1",936.47,Upgrade
Net Cash / Debt Growth,-1.59%,-19.72%,10.91%,15.69%,-34.82%,2.64%,181.09%,-80.72%,12.67%,-18.29%,Upgrade
Net Cash Per Share,0.39,0.39,0.49,0.44,0.38,2.48,2.51,0.89,4.63,4.11,Upgrade
Working Capital,248.93,276.12,401.15,378.03,316.23,577.62,578.91,710.45,"1,255.8","1,473.46",Upgrade
Book Value Per Share,4.59,5.08,7.13,6.81,5.87,40.16,40.73,51.41,93.53,105.41,Upgrade
